FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
GENDER,0.0,1.377290579648443e-06,0.0,2.870756695614506e-05,0.0,0.0,0.0,0.0,2.8954967323991477e-05,5.3953132790338685e-05
AGE_AT_BASELINE,0.0009834169575930083,0.001010536290134734,0.0011868913166994035,0.001179044227231411,0.0014021787166845275,0.0007958297579681101,0.0010090333256857177,0.0004107580076853503,0.0011131134957752626,0.001197194748181382
DURATION_BF_BASELINE,0.0008866453879673214,0.0010092535905134173,0.0009251089798203671,0.0010128807015532936,0.0007959136971822799,0.0009929040113357925,0.0006634044460785736,0.0015140330234035063,0.00097485719556013,0.0007897507658057626
RACE_B,2.380955414453447e-05,6.93823806232917e-05,0.0003028112667694551,0.00012082706618056785,5.8515412619979564e-05,0.0001369664259357356,0.00017671585296367937,4.666963246037794e-05,2.1588664667197668e-05,6.966064531572687e-05
RACE_U,7.840460438561806e-06,2.4769397767179223e-05,3.5122281540835174e-05,6.301753116774872e-06,0.0,2.927733880798842e-05,8.25831041929811e-06,4.247909610630729e-05,5.122098476512819e-05,1.4590095937705094e-05
RACE_W,6.144326682410077e-05,6.449235677601844e-05,7.25317679900672e-05,3.0876986842088095e-05,3.7867513576025425e-05,5.238717130056369e-05,5.191915990576785e-05,0.00011239362914219564,0.0001310660869537954,0.0
SMOKING,0.03429059642369519,0.02235699976356212,0.03125082194578702,0.03410914344693392,0.04144550926083139,0.025049711856850797,0.021254423755849787,0.04712295490406822,0.02055752808839587,0.019732195178032198
MIN_BMI,0.0006402727957465195,0.0007857672212982903,0.0015337398555133617,0.0010852810384951654,0.000852852519637783,0.0011707956154089804,0.0005115590939544787,0.0010946194087381037,0.00041270812732692284,0.0010454507431693445
MAX_BMI,0.0009849438753907402,0.0015565556617161054,0.0014266291541205195,0.0009258995987308971,0.0008473627870196913,0.0022461644636836103,0.0007587246583417704,0.001787389294628652,0.0012493222000287223,0.0009142597143381382
MEDIAN_BMI,0.000643084109382303,0.0010573607559808572,0.0009716186151643826,0.0010655369927024105,0.0008793037798546947,0.0012724820608923538,0.0008675437666461519,0.0011665362213470448,0.001150168251550717,0.0011407030829100428
MEAN_BMI,0.0005691936242046743,0.0009000639568550277,0.0009318461881779902,0.0012440804732892147,0.0009557284470376961,0.0013284688057435968,0.0013110148167298054,0.0012792966305388695,0.0016898200792659162,0.0011650294333781328
STD_BMI,0.0002964526821894529,0.000373581977600435,0.00047223408184657236,0.00020422354404207695,0.00036671738688195726,0.0003817535595668947,0.00026627388150298045,0.0005629062522545052,0.00034644765088714003,0.00032400830065717383
BMI_MEASURE_COUNTS,0.0003393991376935405,0.0004101568447017825,0.0003313394255551136,0.00035372143901859067,0.00029253504996570835,0.0001239315897353875,0.00022730568232235765,0.00019566938136200476,0.00032036794911556815,0.0004455994775140857
MIN_SYSTOLIC,0.0005181347626398248,0.00039101961728480307,0.0005606987167505367,0.0005343428669731118,0.0004590503273811116,0.0003101925055000662,0.0002445436561567145,0.0003069550411208598,0.0005084667529667053,0.0003036634699587701
MAX_SYSTOLIC,0.002052171878376844,0.0033059920870422027,0.0020578616666639933,0.0032032709126357402,0.0013932615500518587,0.002243614856393044,0.003297365989007707,0.0022057079521468235,0.002657587990874887,0.0022496744454043424
MEDIAN_SYSTOLIC,0.0008480899390072627,0.001355360226626603,0.0013661372678829263,0.0008850876227488017,0.0008804225885507807,0.000899599132213931,0.0017513375310156476,0.001483430657410782,0.0009215190679495301,0.0007215274591090168
MEAN_SYSTOLIC,0.0007805828343345253,0.001043386625939076,0.0010130032751486371,0.0009355555745305089,0.000680573981862982,0.0011080698302783625,0.0017585106067261522,0.0012471085641927752,0.00101734378690364,0.0009596473712151559
STD_SYSTOLIC,0.0009727930559846207,0.0012501141965918026,0.0006901394694728602,0.0009265414946588079,0.0010698196014182206,0.0009245016727491909,0.0007664556982046962,0.0013113807450958253,0.0006417953642955493,0.0004903328867175282
MIN_DIASTOLIC,0.0007582261683759936,0.0003660655674389067,0.000553888012978951,0.0006141164795005395,0.0006108613215068449,0.0004666927226829181,0.0004412306525077964,0.0009836424406313216,0.000400713634295589,0.0004356890967695327
MAX_DIASTOLIC,0.0006920643045307001,0.0008612569415534853,0.0004927444658331937,0.00034724470802982246,0.0008305408562386183,0.0006199244890393753,0.0004212380076241454,0.0007105106229330147,0.0008370740628193625,0.0005561707434528899
MEDIAN_DIASTOLIC,0.00033355066359490413,0.00042865910481405014,0.0001178039976385485,0.0004264053872539667,0.00036564346549843393,0.0005413714327410998,0.0003792989476194216,0.00038424653367099355,0.0005908927240327276,0.0004440989774903375
