FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
GENDER,0.0008036431972868741,0.0006545726791955531,0.0009235315956175327,0.0007406036020256579,0.0002696386945899576,0.0004505316319409758,0.0011980462586507201,0.00036900368286296725,0.0005547337350435555,0.0009027714841067791
AGE_AT_BASELINE,0.006786320358514786,0.006452216301113367,0.007111193146556616,0.006758007686585188,0.006920726038515568,0.006487655453383923,0.00801769457757473,0.007656826637685299,0.008228550665080547,0.007312449160963297
DURATION_BF_BASELINE,0.013929815031588078,0.01318496372550726,0.016161803156137466,0.012960562482476234,0.013841452077031136,0.014326905831694603,0.01594323106110096,0.012177121825516224,0.013498520478606224,0.013270741328597069
RACE_B,0.0012501116143539548,0.0017766972305253148,0.001108237891457975,0.0009257544879801571,0.0012583138886839151,0.0009010632638819516,0.0012902036542072892,0.0010147601133212447,0.0012943786568939686,0.0010833258274942636
RACE_U,0.00017858737555798143,0.0003740415268111974,0.0001847063103923574,9.257545025320724e-05,8.9879562438e-05,0.00018021264986600727,0.0004607870359905064,0.0004612546181306243,0.0001849112450145185,0.0002708314568735659
RACE_W,0.00017858737555798143,0.00046755190123803914,0.0001847063103923574,0.0002777263580355793,0.000359518249752,0.00018021264986600727,0.00036862961133010685,0.00027675277669914067,0.000369822490029037,0.0010833258274942636
SMOKING,0.004732565488666296,0.004020946100354195,0.0044329515658319,0.004721347708255053,0.0043142191134393215,0.003964678384363651,0.004054925870150328,0.0038745386991649866,0.004622781183570623,0.004333303309977055
MIN_BMI,0.007143495138734579,0.009631569497287273,0.009974140673875809,0.007313460577279329,0.008089160546660423,0.008469994179904461,0.0057137589901685715,0.009778597392141819,0.008783283643424511,0.009117992594838142
MAX_BMI,0.004196803085505962,0.005984664428979158,0.005633542779833078,0.0056471023708581924,0.005392773542553186,0.005586592014878988,0.005160814616829157,0.0048892986960709095,0.004807692486792803,0.0045138574205338955
MEDIAN_BMI,0.002589516807347536,0.0025247803423553705,0.0018470631912350655,0.0018515089759603143,0.0013481933856382966,0.0023427645210176706,0.001013731467537582,0.0021217712201178074,0.002588757313787937,0.0019860973116010427
