FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
DURATION_BF_BASELINE,0.014865445904433727,0.016502276062965393,0.013348218984901905,0.015330875292420387,0.015600843355059624,0.0158995408564806,0.014656253159046173,0.016284339129924774,0.01429817732423544,0.015104018151760101
SMOKING,0.003680512309074402,0.0036039454862475395,0.003688962198793888,0.0037356880493462086,0.002951510949060321,0.0031990068964660168,0.003326583653688431,0.003351269755512476,0.0034412562381476164,0.004084734711796045
MIN_BMI,0.007456622552126646,0.007492412813007832,0.008203087374567986,0.007665437646210194,0.008198641240596771,0.008689839392900467,0.007569183129817247,0.007221749983727932,0.006640170700848103,0.007931984029710293
MAX_BMI,0.005353472661226988,0.005168816540390253,0.004611202981323004,0.005676304921507835,0.005106582306325436,0.005156608298420906,0.006026419810950756,0.0064665344543755054,0.004798371344804764,0.005319654010236263
MEDIAN_BMI,0.0031547248363494873,0.002940060803666711,0.0023298708256334066,0.0021346788853406906,0.0032794566359370947,0.0026260504964739084,0.0016873975982889533,0.002360049169510603,0.002035672776401043,0.0024223425425589085
MEAN_BMI,0.0016729602357372642,0.0018019727431237698,0.0022327930200845003,0.0018921017181128263,0.002389318309724331,0.002387318527325988,0.0022177225910127163,0.002312848111614585,0.002423419849947095,0.002279851818457246
STD_BMI,0.006596243008971214,0.007160470355302095,0.007329385727643967,0.006840675137937069,0.0066526117734611034,0.00754392659291625,0.0073281265795230865,0.006844142451882362,0.007221791427582502,0.007077040150761604
BMI_MEASURE_COUNTS,0.0031547248363494873,0.0035565251018851995,0.0031550335697829723,0.0034931108821183443,0.0031389084178954363,0.002960274927318096,0.00409796554595232,0.003587274579331279,0.0033927878830581903,0.0024223425425589085
MIN_SYSTOLIC,0.005449070129543543,0.005785280838608742,0.005533443298190832,0.005918882321566343,0.006090419366955757,0.005968296434730291,0.005447883624583483,0.00651373527944088,0.0052345870062708855,0.00603210786357522
MAX_SYSTOLIC,0.006691840942949057,0.006117223296314478,0.005727599374949932,0.0073258294723927975,0.005949871148914099,0.007161955814808607,0.006412110757082701,0.005664117634296417,0.006010081619024277,0.006127101834863424
MEDIAN_SYSTOLIC,0.003393719205632806,0.004220409784466028,0.003543345257639885,0.0037356880493462086,0.004872335586696863,0.0030557678546756506,0.0036640632897615433,0.004531294107437134,0.004216750618070364,0.0031822931487113237
MEAN_SYSTOLIC,0.004779886454343796,0.003746206406503916,0.003688962198793888,0.003929749596863985,0.0038884985260665417,0.004153934307396412,0.003519429126754403,0.0035400735214352608,0.003877471899613738,0.0037522560451179743
