FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
SMOKING,0.09414260577903404,0.08974283494502713,0.08583450587295437,0.08885346372366182,0.08977748218711563,0.08912813131281194,0.09711949160087263,0.08939526893919827,0.09116478301926186,0.08234608477248087
MIN_BMI,0.02154286421522028,0.023518608065746908,0.031024216665401512,0.02790545152501091,0.015981575623360396,0.02866996442609419,0.028545835181469904,0.025546515832060128,0.024402420364612893,0.04560446095245833
MAX_BMI,0.03223102525498923,0.030077753783575214,0.025112818276799124,0.032241083372999774,0.03110804720442729,0.035711786513625755,0.028425704242354004,0.04091487159129384,0.02114105493345312,0.043710965127354826
MEDIAN_BMI,-0.023644474284812204,-0.018599499931004657,-0.025739905866495123,-0.023676665055844648,-0.02359958641563144,-0.03110611623216854,-0.02919692691226982,-0.029937835389039887,-0.017224778535394315,-0.051103747073741386
MEAN_BMI,-0.002657491045541912,-0.001092385573244355,-0.0028647268627530207,-0.0004661356501460086,-0.0015645860650909118,-0.0029409288927492393,-0.001663425895183605,-0.0029265326675425875,0.0023952302239954723,-0.007306179651587711
STD_BMI,-0.028408582600418203,-0.038583082357768674,-0.02454559264611562,-0.01647929682258384,-0.025604697425954632,-0.026350722062563246,-0.022938369292181137,-0.02793642669257168,-0.02997726128810956,-0.025921022652470187
MAX_SYSTOLIC,-0.01124485399493314,0.011963547728068605,0.017277678253486643,-0.008060196855025887,-0.013049100959519935,-0.003496381205161141,0.009773069325688315,0.004270877696735439,-0.0011289468195935372,-0.0014081904867412046
MEDIAN_SYSTOLIC,-0.043068959426163046,-0.051022644144976065,-0.05925355609327952,-0.040398175728162976,-0.0358634012477766,-0.05354501498146389,-0.05629230501389589,-0.05081971309499714,-0.05472242898222801,-0.04423686071656579
STD_SYSTOLIC,0.010057911147540207,-0.0034195752069681074,-0.0020650475655106942,0.006722693342289004,0.008181394060217005,0.0007458106833360792,-0.002507556447375906,0.0024673606947805916,0.008722539424466179,0.005027348138130793
MEDIAN_DIASTOLIC,0.0012186844304709395,0.011174659107626403,0.01743709097938809,0.005570451765807989,0.007164256203577993,0.014466924362585476,0.010356317095510097,0.0100581948510456,0.011538203070320422,0.006165710852748405
MEAN_DIASTOLIC,0.004677847984757687,0.0004706739632434852,4.071275930998139e-05,-0.006261656678510059,0.005193515552093102,0.006343488193058804,0.0017327098396897056,-0.005308885075656775,0.008450426141987693,0.004450283482690379
SYSTOLIC_MEASURE_COUNTS,-0.01097603542087703,-0.00896950079182207,-0.015525397545501057,-0.01329259015928884,-0.014516156053536323,-0.014585667510350016,-0.011999314030285462,-0.0054567818778009656,-0.005042189623404739,-0.017083937327956197
"('%SAT', 'MAX_VALUE')",-0.02514491128581289,-0.022120249310474297,-0.01932200594375163,-0.01783471053700613,-0.02634742919724097,-0.025130564738334853,-0.03138327421504384,-0.0198751921069981,-0.021636643028777852,-0.02501310618175759
"('125DHy', 'MAX_VALUE')",-0.0018700548283409396,-0.0020257154244785833,0.005727503569586497,-0.013446759714528536,-0.0014590925363122944,4.0157078906114764e-05,-0.002199895674838149,-0.006467068823201629,-0.0054041693532110545,-0.002290993666648749
