FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
AGE_AT_BASELINE,-0.06570469777486526,-0.058333548863535006,-0.027520086401541004,-0.035702338294067694,-0.05944243249578837,-0.04486883010894544,-0.0264985370264219,-0.04276343613374383,-0.05320792422813347,-0.043947837117778644
DURATION_BF_BASELINE,-0.012201055985687227,-0.011943490034036209,-0.012734657531993716,-0.011118628160168577,-0.013547155198485462,-0.010969569804961582,-0.01318908071573028,-0.011950538151846527,-0.0113896071714886,-0.009854502120754303
RACE_B,-0.06252020104668404,-0.06503490179162635,-0.06112831003168289,-0.06395078874082273,-0.060304307204972186,-0.06549656257604777,-0.061952958132106224,-0.06024092571818792,-0.06518939587802712,-0.06671931649758903
SMOKING,0.12538879277740644,0.12289946773049318,0.11957640124557309,0.13201590469736454,0.12916841009092825,0.12097889156107151,0.11816387104410872,0.1283785367156065,0.1290306972961984,0.12488042963502775
MIN_BMI,0.04553647435328805,0.08301335939955519,0.0870424143570256,0.04556478534593503,0.05764636888576797,0.07114141287857621,0.06431493631355054,0.0729754761683429,0.07449163406618194,0.057473644845229356
MAX_BMI,0.001185006970154715,-0.0018360908014074084,-0.015244545340679793,0.005414525925485272,-0.0029162892541826804,-0.013110056857791617,-0.008966156263360257,-0.003790882126105211,-0.010696479934998475,0.003100464035737256
MEDIAN_BMI,-0.01144864056298347,-0.03383828258275186,-0.027389851557849277,-0.0133241105001785,-0.016014357872879876,-0.016422989652357167,-0.01333892734088357,-0.02433257405866496,-0.017842262951840198,-0.02054563187042306
MEAN_BMI,0.005200907326273843,-0.002657742797462485,-0.008363232576168568,-0.0033694556682615355,0.00045653997634153876,0.0007847716933164908,0.003614564097083125,-0.006555511994344465,-0.0025317357410497535,0.0005950146621071994
BMI_MEASURE_COUNTS,-0.013894754669478981,-0.000288718967481957,-0.02037444174192157,-0.01936363774097614,-0.01909827557770729,-0.011376278291188561,-0.020599326424573128,-0.023856575971543982,-0.007864141789994812,-0.004650463393784013
MIN_SYSTOLIC,-0.015638726799286864,-0.0026929147785199337,-0.02684113640101582,-0.016953289544058538,-0.029072183072885473,-0.007298480097284818,-0.015067742429024098,-0.01732068256600431,-0.0013464761116628633,-0.023152923464285415
MAX_SYSTOLIC,0.030781860304751052,0.021297549883626768,0.03565228002927195,0.0456779794198506,0.03737364504063598,0.03480808637249,0.04496010636954726,0.04607435804122429,0.03678702316050391,0.030030877663410182
MEAN_SYSTOLIC,-0.04441551964874752,-0.05008556484654361,-0.03090601972989797,-0.0551528949126249,-0.0487686752769868,-0.05374322973245901,-0.06646517444010662,-0.05682816266547894,-0.05074494370801663,-0.03287758458599289
STD_SYSTOLIC,-0.012927005857591751,-0.012228287687655838,-0.02706023449720277,-0.022546275349845827,-0.0223992643317468,-0.00959041237027216,-0.013241076686397334,-0.013279560107599479,-0.008323135266757143,-0.03583190855253789
MEDIAN_DIASTOLIC,0.025696654087200992,0.015596209913713582,0.0007080562579376508,0.008819497057394939,0.0157604272283444,0.019567507548206412,0.00031341590790223223,0.010695080377989058,0.008685133796914993,0.022333744080178092
MEAN_DIASTOLIC,-0.0009424997743988334,0.0003486660613798714,0.007899954932364612,0.008409201156475043,0.007161601818853757,-0.004495972629505491,0.019144294066521492,0.011058182682717006,-0.0001202363613911168,-0.004327009057930999
"('%SAT', 'MAX_VALUE')",0.01783395707733206,0.006201459712503969,0.008033758762515136,0.004665360796687124,0.014555852653951661,0.008730077062306203,0.0042673365841931115,-0.0021052943865144205,0.008924226612747537,0.016982033204129453
"('125DHy', 'MAX_VALUE')",0.040428470941659814,0.031253788484610585,0.02336707067818952,0.03229584419201599,0.026190079816445628,0.029236160019371772,0.04754974259200717,0.03928675514662828,0.03321265656017617,0.037747814239440854
"('125DHy', 'MEDIAN_VALUE')",-0.0038660716819226945,-0.007769832107706176,0.001083180637892982,-0.007952400386376204,-0.0017974748426250074,-0.00275149450188758,-0.010131790716335744,-0.006897068511553945,-0.009569960648535235,-0.013552397566411824
"('125DHy', 'MIN_VALUE')",-0.03685741268009224,-0.03428052758206676,-0.03419968926024964,-0.030205973398089912,-0.02688421038409568,-0.03246108272269283,-0.04344571111324561,-0.036053101968819445,-0.032463758818946975,-0.03290151277297308
"('25DTot', 'MEAN_VALUE')",-0.021430686496294975,-0.013876586843825423,-0.01574641656383736,-0.013769807428797735,-0.01203051236231883,-0.015154291968378926,-0.029530720106524893,-0.01693310553042206,-0.02126052616940262,-0.022625308768719567
"('AFPTum', 'MIN_VALUE')",-0.008303767293211925,-0.003927261980772771,-0.00693555153079207,-0.009660374459970344,-0.00735675762057883,-0.008321405991609713,-0.02290537491664432,-0.008785927723419532,-0.005837136542342013,-0.005900499723485559
