FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
DURATION_BF_BASELINE,0.0011894628291690614,0.0011076972638388127,0.0010160014219107174,0.001053842520632539,0.0010866576239693592,0.0011098429469505156,0.0010817573275949714,0.001059268379686218,0.0010854060003755476,0.0011952623138186444
SMOKING,0.009858325378441177,0.008279259865282936,0.006920677185864744,0.008268746571319126,0.007567751941161335,0.007191651317951662,0.007964735548391378,0.008917261490913547,0.007762347706536664,0.007872968969252315
MIN_BMI,0.0014689772080881513,0.0010671365457765015,0.001680656259506566,0.0016962112560082938,0.0021975757023694462,0.0012679164511665848,0.0017469923814049826,0.0014677580585951751,0.0019122954904794293,0.0015929656918502733
MAX_BMI,0.001472929812949564,0.0014336959264163712,0.002453379670403931,0.002352711326345576,0.0023431598156010884,0.0019557842684795232,0.0024738391545130554,0.0018547035520656606,0.001708448503825791,0.0021892298759990303
MEDIAN_BMI,0.0014855672478577564,0.001994461875443039,0.0016255344726307896,0.002352918787120015,0.0014589195140751415,0.0017344408973283575,0.001986229493106454,0.0015060820139275407,0.0020462758929058796,0.00154864494356731
MEAN_BMI,0.0014583919267335058,0.0015202301010477759,0.002111678128403454,0.0018706635285830095,0.0022394676691232587,0.0020034860072881016,0.0017567140170844289,0.001996730993171024,0.002289823280408608,0.0014127960789626242
STD_BMI,0.000625493325175426,0.0008155879750844785,0.0007356323709569696,0.0007314915063279596,0.0008005564666390338,0.0006501349411878951,0.0008358086458805103,0.0008392337534986065,0.0006395454129258115,0.0005470177061745792
BMI_MEASURE_COUNTS,0.00040342853275507546,0.00044526082764454307,0.00044095684337039804,0.0004702116732607452,0.0005530801290531868,0.0005425046689966868,0.00039136755706800115,0.0005906396828556658,0.00041189081309615837,0.00037302185893456103
MIN_SYSTOLIC,0.0012258919754770093,0.0009838880723287535,0.0008470313328371685,0.0009352134772692154,0.0009830929363300023,0.001095670085966385,0.000995745487891256,0.0006750330356280971,0.0009843583657829788,0.0009128465124004061
MAX_SYSTOLIC,0.00212685100437094,0.002699584484758453,0.002407243360772172,0.0021689664660299473,0.0021702396474207915,0.0021762663137529993,0.0020815067107575118,0.0017219789791925405,0.0021704288011650257,0.001562320721190772
MEDIAN_SYSTOLIC,0.0015071374430392576,0.0017903074040241534,0.0012728433803659907,0.0016555851856902995,0.0015523326441908463,0.0014906563276433536,0.0018970609886097998,0.0012862798341011345,0.0015447324569958926,0.0015930570491482926
MEAN_SYSTOLIC,0.0017048491409044381,0.0018986118181201345,0.0014835688076480663,0.0016120489272225854,0.0014247522467761972,0.0017218050200586102,0.0014563160457107525,0.0014829848805684523,0.0012282177195590447,0.0014870657173310347
STD_SYSTOLIC,0.0009941981093664661,0.0010222954027386908,0.0014115112950430061,0.0014228895528086618,0.001133935403313703,0.0015943422755305878,0.001273456010682649,0.0011241664408473122,0.001315289208971287,0.0013290351979178508
MIN_DIASTOLIC,0.0011058031552607715,0.0010607472469742422,0.0009482821257579772,0.0011179106766443382,0.0011280970639095155,0.0009686890669819984,0.0009318805242021825,0.0014056037994586298,0.0010029228828320746,0.001000890913977934
MAX_DIASTOLIC,0.0010998614306393806,0.0011450048149658635,0.0016883863339428754,0.001419260739558083,0.0012942340493943224,0.0009713711853798257,0.0012717515499982327,0.0014769601845755192,0.0009733088270462906,0.0009543957743020224
MEDIAN_DIASTOLIC,0.0011475661560747012,0.0012343866276294032,0.0010523715415976973,0.0013956922764618907,0.0008821002035013044,0.0014569361301131057,0.0011035527039233517,0.0011996223394431182,0.0008742365235162508,0.0009361084354189394
