FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
AGE_AT_BASELINE,0.004304359042461442,0.0042019559037895235,0.004318652349637456,0.005012461664612943,0.0043097367973443145,0.0047522864437548554,0.00515937036879221,0.00500481778167252,0.004367754311054893,0.004462591237578461
DURATION_BF_BASELINE,0.003980147315913974,0.0036589066277428572,0.004249160119855347,0.0038748538262572334,0.00398716838349522,0.00418916736688305,0.0037636166724307548,0.0037632417556243743,0.003614001081642842,0.004097432628415412
RACE_B,0.00023275235011675,0.00023740519164150507,0.00024184721381079126,0.0001835390825706381,0.0002823618197130675,0.00021425456514199634,0.00021730830665533964,0.00023745006964674364,0.0003007945361964922,0.0002381263573700373
SMOKING,0.08537099685956435,0.09445598177009465,0.08750595681624194,0.09149272595252182,0.0891795380306866,0.08724250597544493,0.09122261615854221,0.08364087460120112,0.08754317266901239,0.08581923059393269
STD_BMI,0.0019247335206827982,0.00207927222179011,0.0018379969214658255,0.0019162965708827964,0.0018000770709863557,0.001831830148622851,0.0015489376987908277,0.0019288957865762149,0.0019994063697352125,0.0018941860210731642
BMI_MEASURE_COUNTS,0.0012971965890454878,0.0010778670016675775,0.001215310300493358,0.0013932793100185237,0.001444038680880273,0.0012791200948863313,0.0014824827858745978,0.0014462974624346453,0.0014160497040541778,0.0012703911152413536
MAX_SYSTOLIC,0.005565428919485484,0.005927097191665502,0.00493788966169366,0.005539154828901803,0.005303602319422276,0.0060688752572264195,0.006017542751704764,0.005236175105716278,0.005350271340208957,0.006100941225163736
MEDIAN_SYSTOLIC,0.00206132272250104,0.0018462633053716881,0.002044727437739514,0.0025300690245000004,0.0021580333654435714,0.0023995606427297893,0.0022985292908634415,0.0025575851241217184,0.0022906047548287446,0.0021873055940877287
MEAN_SYSTOLIC,0.0029814314991314073,0.002772644784444367,0.002855627675295281,0.0028968601996823377,0.0027151927288415673,0.0029269972797726002,0.003361503072598221,0.002878654943771036,0.003070963819451558,0.0026778494452754597
STD_SYSTOLIC,0.0031607867661049083,0.003040027545863883,0.0028655146542261867,0.0030841979119759725,0.0029706904941261196,0.0028148251150691512,0.00290922097935001,0.0029715824653673084,0.003062515221611721,0.0029918036995725313
MEAN_DIASTOLIC,0.0025589336806476426,0.002420505641394327,0.002590584462601511,0.002318591752806396,0.002158938615714163,0.0025773620886095695,0.002419046694852725,0.0020677682548886434,0.002207797118490994,0.0021856858400780554
STD_DIASTOLIC,0.002164843757518827,0.0022077354764893915,0.002373843877929877,0.0028302681421273445,0.002569469568681424,0.002268535652247443,0.0024803360462746474,0.002361409369774073,0.0025293205018277476,0.0023086592357425433
"('25DTot', 'MIN_VALUE')",0.0014339379909685552,0.0013377759778219003,0.001363677963020067,0.0013698621742050773,0.0015012275236626247,0.0013436611055742782,0.001476739854680282,0.0013995177358317686,0.001555860578060205,0.0013753530856793292
"('25HyD3', 'MAX_VALUE')",0.001460548809132285,0.0015853401620526965,0.0014695024625976253,0.001448004747464095,0.0015141198024146312,0.0012990182648915203,0.0016057190866644823,0.001629957814629049,0.0015429577076750203,0.001393388529755093
"('25HyD3', 'MIN_VALUE')",0.0014327952993777487,0.001296130853901033,0.001400464470289186,0.0014644533964871176,0.0015040958748474948,0.0015109713346612556,0.0015387236377999427,0.0016428112778839453,0.0014548017269518803,0.0014295780259531916
"('AFPTum', 'MIN_VALUE')",0.001092920218301387,0.0010913629390000457,0.001065049911502255,0.0011321417533592963,0.0010740153723273577,0.001024225312982692,0.0010599883837498923,0.0011891348678480674,0.0010097034785015158,0.0009467153501565895
"('AN-GAP', 'MAX_VALUE')",0.0012073797759060748,0.0010979426194760522,0.00124708156480804,0.0011246391705483296,0.0011644908462982335,0.0014737153661630272,0.001216682816174761,0.0011429800865829555,0.001053287735465868,0.0012553567516825654
"('AN-GAP', 'MEAN_VALUE')",0.002130206096328382,0.0024832772771348145,0.0023205480057568377,0.0023474824743245494,0.0023512781861362068,0.00243582282546633,0.0024340707846191322,0.0024119616019883912,0.002026560802639883,0.0021981001224727708
"('Alb', 'MAX_VALUE')",0.0016738709214867938,0.001927687502739836,0.0019916541503972015,0.0018989633028443395,0.0018017430244933463,0.0019948225676584765,0.0017891740217061758,0.0017904818912215406,0.0017938522011589633,0.0015026775398660423
"('Alb', 'MEAN_VALUE')",0.005332004938263673,0.004867859201607066,0.005162864082586033,0.005389934315086335,0.004596714452205806,0.005701506389081162,0.004668114083694824,0.004588979182926722,0.005220817889336713,0.005699643797969054
"('Alb', 'MEDIAN_VALUE')",0.003256161758277601,0.0032426306742492183,0.003380612102614679,0.002805667768052324,0.003517263785038525,0.003840059771381975,0.0032066542895856824,0.003817272456614942,0.003486767735583724,0.0029973178683050943
"('Alb', 'MIN_VALUE')",0.007191078957647991,0.007135002467134881,0.008675422975358796,0.009525358104349376,0.00662420008423969,0.010691334730531242,0.008020606033226388,0.008487191577732933,0.008399339005138756,0.00824633762897193
"('AlbCnc', 'MEAN_VALUE')",0.001176493880264223,0.0012099642435387534,0.0011577619062249872,0.0010265677253317826,0.0011922603149064645,0.001279806298054585,0.0012233966279848922,0.0011692790080395526,0.0011273211614708264,0.001211269429403485
"('AlbCnc', 'STD_VALUE')",0.0009837811344379124,0.001066168070057583,0.0010309345104237903,0.0010286605006085104,0.0010344141929595713,0.0009305349839376384,0.001108702283685655,0.0009111412579291926,0.0010333545387088859,0.001080265391010518
"('AlbCre', 'STD_VALUE')",0.000577140695525672,0.0005779206842819808,0.0005766891900865101,0.0005777212518081076,0.0005659441212681004,0.0005861899746197889,0.0004994829388881126,0.0006171453423532021,0.0006608962345685089,0.000563621268362728
"('AlkP', 'MIN_VALUE')",0.0028964702710912405,0.0031447490926294307,0.0026679915435357956,0.002864776033329856,0.0026558589882213807,0.003149361324285966,0.0025943591659045384,0.0030270142825638354,0.0030393607333381754,0.003071543919841237
"('AlkP', 'STD_VALUE')",0.002617315883452209,0.002517718562335724,0.00245949609160958,0.002165098504052493,0.00188517713059738,0.0028273131447441495,0.002472813976260738,0.0026036172877778986,0.002044701143048494,0.0023609190535084433
"('AntDNA', 'MAX_VALUE')",0.0005942529560189613,0.0006893480500820102,0.0006319284377760024,0.0007353887394908113,0.000703501171431127,0.0006292192660101518,0.000686078760983784,0.0007701179942736977,0.0006545610591234893,0.0007408283672181511
"('AntDNA', 'MEAN_VALUE')",0.00072883819606882,0.0007388190291139679,0.0007568186764080594,0.0008767044258271415,0.0007354006650007217,0.0006187777072757259,0.0009281698713169061,0.000818856627649298,0.0007022950746296011,0.0008544414057818817
"('AntDNA', 'MIN_VALUE')",0.0006841619557709797,0.000789264317980527,0.0005964694188452152,0.0006972912793538057,0.0006288632658108301,0.0006671837923752524,0.0007284984229199789,0.0006967406010248392,0.0006233142828723914,0.0006839012977204423
"('AtyLym', 'MIN_VALUE')",0.0007514447558412495,0.00075959685413154,0.0008371624459122335,0.0007439144161502622,0.0007984384761672664,0.0006985750141155504,0.0006851296232310815,0.0008231095372856649,0.0008086235867177037,0.0007955105474039637
"('BASOAB', 'MAX_VALUE')",0.00046641719691645726,0.0006366382055684298,0.0006187655150545856,0.0005920385257144354,0.0006226429756173656,0.0005552333810175608,0.0007838786457661605,0.0006042135706425205,0.000577729068626417,0.0006054879489693769
"('BASOAB', 'MEDIAN_VALUE')",0.00045908452376770034,0.00045542041977662465,0.00040777780902550393,0.000543631366273468,0.000516911203901568,0.0005283907347692614,0.0006738284174241552,0.0006703406179584571,0.0005470835319759982,0.0005488320871399376
