FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
AGE_AT_BASELINE,0.004186217843635278,0.004376528456028708,0.004441125862317723,0.004019270861700473,0.005244718003286785,0.004115333618482916,0.004558177790246703,0.0051476934195018136,0.0044238674926739725,0.00424575326435894
DURATION_BF_BASELINE,0.0037446791404711667,0.003531441193855833,0.003786564020690406,0.003476854731225084,0.0033401567365713616,0.00372944538259686,0.0035976177010593417,0.0034515536543506193,0.003543119823535354,0.003654852823585208
RACE_B,0.00019627155583352274,0.00012457819008729204,0.000249195873781947,0.00018010755843336594,0.00016399782862158352,0.00021854102708169045,0.00023665387958398187,0.00030879377914005637,0.0002796772902167136,0.00020522906947370147
SMOKING,0.028030160120165872,0.027692294059800518,0.030250922887329043,0.027940027043741003,0.02844175406250959,0.027685169970298903,0.028470183484862365,0.028012642033326367,0.028008929762983446,0.025141439207420097
MIN_BMI,0.003440774004219414,0.003234735502403727,0.0037452194557178924,0.0037891055540709862,0.003808558621708958,0.0033880258506586458,0.003511304993383606,0.003627565644169703,0.0036716411807139666,0.003187501036039448
MAX_BMI,0.004408468269398362,0.004730022346966574,0.004251721053613829,0.003975775386070669,0.004349722422116303,0.003915260995219137,0.004242905478309687,0.003511789855918738,0.004053700172733848,0.004534656195540021
MEDIAN_BMI,0.003637743494191118,0.004053624630634283,0.003173482014602008,0.0037469956694026595,0.0036800489222585963,0.0034717800609685655,0.004025744953575427,0.003524325859866068,0.004138095945986924,0.0032917212316302003
MEAN_BMI,0.0039447307048391675,0.004022108092352796,0.0033952246697163406,0.003211019577639686,0.003608884196675924,0.003453248580169109,0.0035781707674605355,0.0036159450110914856,0.0038011065794237714,0.0037253290277053873
BMI_MEASURE_COUNTS,0.0018836400721387843,0.0017173113725306702,0.0019366828469574834,0.0018125520041654094,0.0017837009319659877,0.0015272735444805427,0.0013829436091413662,0.0016338180755522133,0.0017452639213297399,0.0019934066466838103
MIN_SYSTOLIC,0.0028632573805715267,0.0036981898885284316,0.003051874993156056,0.003757701478556001,0.002932112664540871,0.0032533872289368876,0.0033165371068502136,0.003371465180393878,0.003413188111321824,0.002960081932182847
