FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
DURATION_BF_BASELINE,0.018643781542778015,0.017977623268961906,0.01828591711819172,0.01816338673233986,0.017390921711921692,0.016857106238603592,0.017455698922276497,0.019578708335757256,0.017723040655255318,0.017808698117733
SMOKING,0.003678024746477604,0.003501580096781254,0.0035506635904312134,0.003928360063582659,0.003522211918607354,0.003562584286555648,0.003790884278714657,0.0041517349891364574,0.004033815581351519,0.0036317494232207537
MIN_BMI,0.009047095663845539,0.008156118914484978,0.00914295855909586,0.008236884139478207,0.008893584832549095,0.008732675574719906,0.009344970807433128,0.0075605278834700584,0.00888297613710165,0.008094863034784794
MAX_BMI,0.005834108218550682,0.0054658809676766396,0.006169277708977461,0.006293824408203363,0.005943732801824808,0.0069948299787938595,0.006832407787442207,0.006686478387564421,0.00600781012326479,0.006213354412466288
MEDIAN_BMI,0.0032129872124642134,0.002818344859406352,0.0025742310099303722,0.0036326772533357143,0.003258045995607972,0.0031281227711588144,0.003350083716213703,0.0035836028400808573,0.00296099204570055,0.003500481368973851
MEAN_BMI,0.0025365687906742096,0.0026475361082702875,0.0020860147196799517,0.002534426050260663,0.001893188920803368,0.002346091903746128,0.001983602298423648,0.0021414211951196194,0.002102733589708805,0.002669116947799921
STD_BMI,0.008370677009224892,0.00772909726947546,0.008033376187086105,0.008152403868734837,0.008277198299765587,0.0071686143055558205,0.008771929889917374,0.007866444997489452,0.008196369744837284,0.008182374760508537
BMI_MEASURE_COUNTS,0.0033820918761193752,0.0030318559147417545,0.0033731304574757814,0.002534426050260663,0.003125963034108281,0.003171568736433983,0.003173763630911708,0.0026221484877169132,0.0033472084905952215,0.0028878971934318542
MIN_SYSTOLIC,0.006721907295286655,0.006704244762659073,0.00723447697237134,0.005913660395890474,0.005503456108272076,0.006386583670973778,0.005862646736204624,0.006686478387564421,0.006737329997122288,0.007219742517918348
MAX_SYSTOLIC,0.006848735734820366,0.006533436011523008,0.00723447697237134,0.007011911831796169,0.006604147609323263,0.006560368463397026,0.007537688594311476,0.006948693189769983,0.006136549171060324,0.0068696946837008
MEDIAN_SYSTOLIC,0.004269890952855349,0.003800495294854045,0.0046602459624409676,0.0038438793271780014,0.003698322456330061,0.004605291876941919,0.004319844767451286,0.004108032677322626,0.004505857825279236,0.004463113844394684
MEAN_SYSTOLIC,0.004312166944146156,0.004056708421558142,0.004083263222128153,0.004097322002053261,0.005151235032826662,0.004605291876941919,0.004143524449318647,0.00441394979134202,0.004677509423345327,0.004331845790147781
STD_SYSTOLIC,0.004904033150523901,0.006191818043589592,0.00532599538564682,0.005786939058452845,0.005591511260718107,0.00534387631341815,0.005642246454954147,0.005768726579844952,0.005063725635409355,0.005950818303972483
MIN_DIASTOLIC,0.004481271840631962,0.005508583039045334,0.005237228702753782,0.0055334968492388725,0.005239290185272694,0.005561106838285923,0.005069205537438393,0.005593916401267052,0.005535767879337072,0.004331845790147781
MAX_DIASTOLIC,0.004227614961564541,0.003800495294854045,0.0039501129649579525,0.005026611499488354,0.00471095833927393,0.004561845678836107,0.003614563960582018,0.004108032677322626,0.004033815581351519,0.004244333598762751
MEDIAN_DIASTOLIC,0.0032975394278764725,0.002818344859406352,0.0031068306416273117,0.002830109093338251,0.0037423502653837204,0.0030412303749471903,0.003350083716213703,0.0027532558888196945,0.0030897308606654406,0.0027566291391849518
MEAN_DIASTOLIC,0.003339815651997924,0.004312921781092882,0.0033731304574757814,0.004097322002053261,0.0044027650728821754,0.0036494764499366283,0.0033941639121621847,0.004108032677322626,0.003218469675630331,0.0036755052860826254
STD_DIASTOLIC,0.004819480702280998,0.004398325923830271,0.004704629071056843,0.005068852100521326,0.004578875377774239,0.0048659685999155045,0.005245525855571032,0.0040643298998475075,0.004291292745620012,0.005075697787106037
SYSTOLIC_MEASURE_COUNTS,0.002240635920315981,0.002434025052934885,0.0019084817031398416,0.0019853003323078156,0.0020252717658877373,0.0016943997470661998,0.0021158424206078053,0.002010313794016838,0.002446037018671632,0.002144044730812311
"('%SAT', 'MAX_VALUE')",0.0011414559558033943,0.0018361944239586592,0.0012871155049651861,0.0014784150989726186,0.001496940036304295,0.0018247382249683142,0.0014987216563895345,0.0013547766720876098,0.0016306913457810879,0.0014001925010234118
"('%SAT', 'MEAN_VALUE')",0.0007609706372022629,0.0008540438720956445,0.0011983489384874701,0.0013516938779503107,0.0015409677289426327,0.0009558152523823082,0.0008816010085865855,0.0006992395501583815,0.0015448654303327203,0.0007438522879965603
"('%SAT', 'MEASURE_COUNTS')",0.00012682843953371048,0.00034161756047978997,0.00035506635322235525,0.0002956830139737576,0.0003522211918607354,0.00021723074314650148,0.00026448030257597566,0.0005681321490556002,0.00017165171448141336,0.00026253610849380493
"('%SAT', 'MEDIAN_VALUE')",0.0005495899240486324,0.00025621315580792725,0.0006213661399669945,0.0005913660279475152,0.0003081935574300587,0.00026067689759656787,0.0003526404034346342,0.0003059173177462071,0.00038621635758318007,0.0004813161795027554
"('%SAT', 'MIN_VALUE')",0.0007609706372022629,0.0009821504354476929,0.0008876658976078033,0.001224972540512681,0.0008805529796518385,0.0008689229725860059,0.0012342414120212197,0.0013110742438584566,0.001072823186405003,0.0007438522879965603
"('%SAT', 'STD_VALUE')",0.0,8.540439011994749e-05,0.0001331498788204044,0.00016896173474378884,0.0001761105959303677,0.0,0.0001763202017173171,0.00017480988753959537,8.582585724070668e-05,4.375601565698162e-05
"('125DHy', 'MAX_VALUE')",0.0016910459380596876,0.0015372789930552244,0.0009320491808466613,0.0014784150989726186,0.0010566635755822062,0.0012164921499788761,0.001366481534205377,0.0013110742438584566,0.001373213715851307,0.001969020813703537
"('125DHy', 'MEAN_VALUE')",0.0007186945294961333,0.0006832351209595799,0.0005325995152816176,0.0008870490710251033,0.0008365253452211618,0.0007385845528915524,0.00048488055472262204,0.0006555371219292283,0.0008153456728905439,0.0005250722169876099
"('125DHy', 'MEASURE_COUNTS')",8.455229544779286e-05,0.00025621315580792725,4.4383294152794406e-05,4.224043368594721e-05,8.805529796518385e-05,0.00013033844879828393,4.4080050429329276e-05,0.00013110741565469652,0.00017165171448141336,0.00013126805424690247
"('125DHy', 'MEDIAN_VALUE')",0.0002959330449812114,0.00025621315580792725,0.00031068306998349726,0.00016896173474378884,0.0003081935574300587,0.00030412303749471903,0.00030856035300530493,0.00034961977507919073,0.00038621635758318007,0.0002187800855608657
"('125DHy', 'MIN_VALUE')",0.0006764183635823429,0.0006405329331755638,0.0012871155049651861,0.0009715299238450825,0.0007044423837214708,0.0007385845528915524,0.0011020012898370624,0.0006992395501583815,0.0005578681011684239,0.0007000962505117059
"('125DHy', 'STD_VALUE')",0.00025365687906742096,8.540439011994749e-05,0.0001331498788204044,0.00012672129378188401,8.805529796518385e-05,0.00021723074314650148,0.0001763202017173171,0.00026221483130939305,8.582585724070668e-05,0.00017502406262792647
"('25DTot', 'MAX_VALUE')",0.0012682843953371048,0.0015799811808392406,0.0018197150202468038,0.0008025682182051241,0.0012327742297202349,0.0012164921499788761,0.0012342414120212197,0.001442181644961238,0.0015019525308161974,0.0018377526430413127
"('25DTot', 'MEAN_VALUE')",0.0009300752426497638,0.0012383636785671115,0.0010208158055320382,0.0010137703502550721,0.0011447188444435596,0.0010427075903862715,0.0010579212103039026,0.0007429420365951955,0.0009440844296477735,0.0011814124882221222
"('25DTot', 'MEASURE_COUNTS')",8.455229544779286e-05,4.2702195059973747e-05,8.876658830558881e-05,0.0,4.402764898259193e-05,0.0,8.816010085865855e-05,4.370247188489884e-05,4.291292862035334e-05,0.00017502406262792647
"('25DTot', 'MEDIAN_VALUE')",0.0004227614845149219,0.00021351096802391112,0.00017753317661117762,0.00025344258756376803,0.0003081935574300587,0.00030412303749471903,0.0003526404034346342,0.00021851237397640944,0.00017165171448141336,0.00030629211687482893
"('25DTot', 'MIN_VALUE')",0.0010569037403911352,0.0012383636785671115,0.0006657494232058525,0.0009292894974350929,0.0007484700181521475,0.0006516922148875892,0.0009697611094452441,0.0008740494959056377,0.0009011715301312506,0.0004813161795027554
"('25DTot', 'STD_VALUE')",8.455229544779286e-05,4.2702195059973747e-05,0.0001331498788204044,4.224043368594721e-05,8.805529796518385e-05,4.3446147174108773e-05,0.0001763202017173171,0.0,8.582585724070668e-05,0.0
"('25HyD2', 'MAX_VALUE')",0.0013105606194585562,0.0011956614907830954,0.001509031979367137,0.0013939342461526394,0.0012768018059432507,0.0012599383480846882,0.0008816010085865855,0.0007429420365951955,0.0009440844296477735,0.0012251684674993157
"('25HyD2', 'MEAN_VALUE')",0.0009723514085635543,0.0006832351209595799,0.0006657494232058525,0.0005913660279475152,0.00022013824491295964,0.0006516922148875892,0.00044080050429329276,0.0006555371219292283,0.0007724327151663601,0.0009188763215206563
"('25HyD2', 'MEASURE_COUNTS')",4.227614772389643e-05,4.2702195059973747e-05,4.4383294152794406e-05,4.224043368594721e-05,8.805529796518385e-05,8.689229434821755e-05,0.0001763202017173171,0.00013110741565469652,4.291292862035334e-05,0.00013126805424690247
"('25HyD2', 'MEDIAN_VALUE')",0.00038048531860113144,0.00042702193604782224,0.00022191647440195084,0.00042240432230755687,0.00044027648982591927,0.0003475691773928702,8.816010085865855e-05,0.0003933222615160048,0.0004291292862035334,0.00039380413363687694
"('25HyD2', 'MIN_VALUE')",0.0011837321799248457,0.0009821504354476929,0.0009320491808466613,0.0012672130251303315,0.0006604147492907941,0.0013033844297751784,0.0013224014546722174,0.000961454410571605,0.0009869973873719573,0.0005688281962648034
"('25HyD2', 'STD_VALUE')",4.227614772389643e-05,0.00017080878023989499,0.00017753317661117762,0.00012672129378188401,8.805529796518385e-05,0.0,8.816010085865855e-05,0.00017480988753959537,8.582585724070668e-05,4.375601565698162e-05
"('25HyD3', 'MAX_VALUE')",0.0005495899240486324,0.0005551285576075315,0.0010651990305632353,0.0007603277917951345,0.0010126358829438686,0.0007820306927897036,0.0009697611094452441,0.0005244296626187861,0.0015019525308161974,0.0014877045759931207
"('25HyD3', 'MEAN_VALUE')",0.0007609706372022629,0.0005124263116158545,0.00044383294880390167,0.0006336065125651658,0.0007484700181521475,0.0006951383547857404,0.00030856035300530493,0.001005156897008419,0.0006436939584091306,0.0005688281962648034
"('25HyD3', 'MEASURE_COUNTS')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('25HyD3', 'MEDIAN_VALUE')",0.00025365687906742096,8.540439011994749e-05,0.00031068306998349726,0.00012672129378188401,0.00044027648982591927,0.0001737845886964351,0.0003526404034346342,8.740494376979768e-05,0.00017165171448141336,0.0002187800855608657
"('25HyD3', 'MIN_VALUE')",0.0005073137581348419,0.0003843197482638061,0.0007988992729224265,0.0007603277917951345,0.00026416589389555156,0.0003475691773928702,0.0006171207060106099,0.0007429420365951955,0.0006007810006849468,0.0004375601711217314
"('25HyD3', 'STD_VALUE')",4.227614772389643e-05,4.2702195059973747e-05,0.0001331498788204044,8.448086737189442e-05,0.0,8.689229434821755e-05,4.4080050429329276e-05,4.370247188489884e-05,0.0,8.751203131396323e-05
"('A-1Gg/', 'MAX_VALUE')",0.00033820918179117143,0.0005978307453915477,0.0002662997576408088,0.00016896173474378884,0.0001761105959303677,0.00013033844879828393,0.0003526404034346342,0.00021851237397640944,0.00017165171448141336,0.0004813161795027554
"('A-1Gg/', 'MEAN_VALUE')",0.0002959330449812114,0.00012810657790396363,0.00044383294880390167,0.00021120216115377843,0.0001761105959303677,0.00013033844879828393,4.4080050429329276e-05,4.370247188489884e-05,0.00025747757172212005,0.00017502406262792647
"('A-1Gg/', 'MEASURE_COUNTS')",4.227614772389643e-05,4.2702195059973747e-05,8.876658830558881e-05,4.224043368594721e-05,8.805529796518385e-05,0.0001737845886964351,4.4080050429329276e-05,8.740494376979768e-05,0.0,4.375601565698162e-05
"('A-1Gg/', 'MEDIAN_VALUE')",0.0,0.00012810657790396363,0.0,0.0,0.0,0.0,0.0,4.370247188489884e-05,0.0,0.0
"('A-1Gg/', 'MIN_VALUE')",4.227614772389643e-05,0.0,8.876658830558881e-05,4.224043368594721e-05,0.0,8.689229434821755e-05,0.0,0.0,4.291292862035334e-05,4.375601565698162e-05
"('A-1Gg/', 'STD_VALUE')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.370247188489884e-05,8.582585724070668e-05,4.375601565698162e-05
"('A-2Gg/', 'MAX_VALUE')",8.455229544779286e-05,0.0004697241529356688,0.0002662997576408088,0.0003379234694875777,0.0006604147492907941,0.00026067689759656787,0.0001763202017173171,0.00013110741565469652,0.00034330342896282673,0.0002187800855608657
"('A-2Gg/', 'MEAN_VALUE')",8.455229544779286e-05,0.00029891537269577384,0.00039944963646121323,0.0003379234694875777,0.0003522211918607354,0.00021723074314650148,0.00022040025214664638,0.00021851237397640944,0.0002145646431017667,0.00039380413363687694
"('A-2Gg/', 'MEASURE_COUNTS')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('A-2Gg/', 'MEDIAN_VALUE')",4.227614772389643e-05,0.0,4.4383294152794406e-05,0.0,0.0,0.0,0.0,4.370247188489884e-05,0.0,0.0
"('A-2Gg/', 'MIN_VALUE')",0.0002959330449812114,4.2702195059973747e-05,0.00022191647440195084,0.00025344258756376803,0.00013208294694777578,0.0001737845886964351,0.00013224015128798783,0.00017480988753959537,4.291292862035334e-05,0.00017502406262792647
"('A-2Gg/', 'STD_VALUE')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('AFPTum', 'MAX_VALUE')",0.0011837321799248457,0.0007259373087435961,0.0011095823720097542,0.0008448086446151137,0.00044027648982591927,0.0007820306927897036,0.0009697611094452441,0.001005156897008419,0.001072823186405003,0.0012251684674993157
