FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
AGE_AT_BASELINE,0.008847041986882687,0.009821861982345581,0.010310770012438297,0.010681826621294022,0.010068240575492382,0.01010510791093111,0.009307672269642353,0.011107622645795345,0.010639073327183723,0.010061141103506088
DURATION_BF_BASELINE,0.025333097204566002,0.028793366625905037,0.028544552624225616,0.027881378307938576,0.02886228822171688,0.028729485347867012,0.028775911778211594,0.02853442169725895,0.027836479246616364,0.03076387196779251
RACE_B,0.0020962869748473167,0.002427456434816122,0.001953619532287121,0.0025346707552671432,0.0023865457624197006,0.002397197065874934,0.0023732709232717752,0.0023157233372330666,0.0019310646457597613,0.002205711556598544
SMOKING,0.003446438116952777,0.002950293244794011,0.0030751419253647327,0.0030416047666221857,0.0028340232092887163,0.0034667158033698797,0.00374531839042902,0.0030222153291106224,0.003206295892596245,0.003289218991994858
STD_BMI,0.01627287268638611,0.014975538477301598,0.015303353779017925,0.01509939506649971,0.014356564730405807,0.015378941781818867,0.01579708606004715,0.014757830649614334,0.013663193210959435,0.013969507068395615
BMI_MEASURE_COUNTS,0.006715224590152502,0.00683422340080142,0.005318186711519957,0.005793532822281122,0.005854495335370302,0.0063802325166761875,0.006823154166340828,0.0062799276784062386,0.006959119811654091,0.0065397415310144424
MAX_SYSTOLIC,0.012719843536615372,0.012286663986742496,0.013639159500598907,0.012637143954634666,0.012454786337912083,0.012133505195379257,0.012274261564016342,0.011853363364934921,0.01282518357038498,0.012266851961612701
MEDIAN_SYSTOLIC,0.008491739630699158,0.009597789496183395,0.008103903383016586,0.007386754732578993,0.00827833078801632,0.00973630789667368,0.008380613289773464,0.00769291166216135,0.008671573363244534,0.007700642570853233
MEAN_SYSTOLIC,0.007958784699440002,0.007357059977948666,0.007850656285881996,0.008436832576990128,0.008315620943903923,0.008297990076243877,0.007527719251811504,0.008477902039885521,0.008161480538547039,0.008358485996723175
STD_SYSTOLIC,0.009912950918078423,0.010718153789639473,0.01009370107203722,0.010790455155074596,0.011708990670740604,0.009920707903802395,0.010494307614862919,0.010558128356933594,0.009946804493665695,0.011647704988718033
MEAN_DIASTOLIC,0.013181737624108791,0.013369683176279068,0.013602981343865395,0.01325270626693964,0.014468434266746044,0.013645583763718605,0.013868802227079868,0.013462595641613007,0.014063980430364609,0.011647704988718033
STD_DIASTOLIC,0.010268253274261951,0.009224334731698036,0.010166057385504246,0.01155085675418377,0.009881791658699512,0.010031348094344139,0.009715578518807888,0.009812386706471443,0.01056620292365551,0.010332017205655575
"('25DTot', 'MIN_VALUE')",0.004938710480928421,0.00530305877327919,0.0056437901221215725,0.004779664799571037,0.005220569204539061,0.005236953496932983,0.004375718533992767,0.005769683513790369,0.00429935147985816,0.005069267004728317
"('25HyD3', 'MAX_VALUE')",0.004299165215343237,0.004630839917808771,0.004088129848241806,0.0048158741556108,0.004773091524839401,0.004314954858273268,0.004190306644886732,0.0044744485057890415,0.0042264810763299465,0.003985759802162647
"('25HyD3', 'MIN_VALUE')",0.003517498727887869,0.00351047539152205,0.0034369234926998615,0.0039468444883823395,0.003505239263176918,0.003356076078489423,0.004041977226734161,0.004199701827019453,0.003461342304944992,0.0036761860828846693
"('AFPTum', 'MIN_VALUE')",0.003801740938797593,0.005041640251874924,0.004956405144184828,0.005250389222055674,0.005220569204539061,0.004941914230585098,0.004635294899344444,0.004435198847204447,0.005829629022628069,0.0038696695119142532
"('AN-GAP', 'MAX_VALUE')",0.0056493161246180534,0.006012622732669115,0.005173474084585905,0.004960712511092424,0.005444307811558247,0.005421353504061699,0.004709459841251373,0.0048276945017278194,0.005975369829684496,0.006578437983989716
"('AN-GAP', 'MEAN_VALUE')",0.011156510561704636,0.009597789496183395,0.010238413698971272,0.010211101733148098,0.009173285216093063,0.011359026655554771,0.009863907471299171,0.01040113065391779,0.010274721309542656,0.010680288076400757
"('Alb', 'MAX_VALUE')",0.00650204299017787,0.005564476829022169,0.005679968278855085,0.005431436933577061,0.006301972549408674,0.0056426334194839,0.004709459841251373,0.005220190156251192,0.006048240233212709,0.003985759802162647
"('Alb', 'MEAN_VALUE')",0.00699946703389287,0.0070209507830441,0.007344162557274103,0.0069884490221738815,0.007457955740392208,0.006785911973565817,0.007082730531692505,0.007535913493484259,0.007359906565397978,0.007004101760685444
"('Alb', 'MEDIAN_VALUE')",0.002664771629497409,0.0031743659637868404,0.0030751419253647327,0.0021001556888222694,0.0026475742924958467,0.002913516480475664,0.003040753537788987,0.0035324592608958483,0.0022589813452214003,0.0030183421913534403
"('Alb', 'MIN_VALUE')",0.004761058837175369,0.0049296035431325436,0.003979595378041267,0.0037295869551599026,0.004437483847141266,0.004204315133392811,0.004783624317497015,0.004670696333050728,0.005538147408515215,0.004488816484808922
"('AlbCnc', 'MEAN_VALUE')",0.007070527411997318,0.007805205881595612,0.007416518870741129,0.006228047888725996,0.007420666050165892,0.007117831613868475,0.006823154166340828,0.007810660172253847,0.006776943802833557,0.007700642570853233
"('AlbCnc', 'STD_VALUE')",0.003126665484160185,0.004294730722904205,0.00426902063190937,0.0038744250778108835,0.004810381680727005,0.004757514223456383,0.00459821242839098,0.005102441180497408,0.004335786681622267,0.004217939916998148
