FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
DURATION_BF_BASELINE,5.48695929613229e-08,5.925756516683419e-08,3.809825593586882e-08,7.484930923010728e-08,4.115150583582954e-08,3.4345478872362774e-08,2.9332552690797414e-08,1.544552454273986e-08,2.313791684973008e-08,4.225236545964881e-08
SMOKING,1.446384137122646e-09,1.4255590772242834e-09,1.3831279231706015e-09,1.4635809874425243e-09,1.3680231803081104e-09,1.4065663349320342e-09,1.3773156017775344e-09,1.4735571455915895e-09,1.3678048253534421e-09,1.4562821128092133e-09
MIN_BMI,7.761528686447502e-09,8.587057105632188e-09,7.648323211066456e-09,8.122224061568969e-09,7.175789189232577e-09,8.672538216644544e-09,7.180827283331875e-09,8.112879609481926e-09,8.50147647759625e-09,8.957205594882515e-09
MAX_BMI,1.5294516157634063e-08,1.6321007857661454e-08,1.4917432977690895e-08,1.534700131878812e-08,1.4689218302527378e-08,1.5977752005535942e-08,1.4802651256542003e-08,1.5335228232480237e-08,1.5726871172146494e-08,1.650103485723278e-08
MEDIAN_BMI,1.0778408395240077e-08,1.1873700733237457e-08,1.0718991670003526e-08,1.1145956221306621e-08,1.0317290952332423e-08,1.153696434657581e-08,1.0362996685541342e-08,1.1171328136731921e-08,1.1624932927752644e-08,1.2237890138106626e-08
MEAN_BMI,1.0973096992854191e-08,1.2048441044807884e-08,1.0889499603123417e-08,1.1314688126988108e-08,1.0494541484269228e-08,1.1745283462056998e-08,1.0538669223167774e-08,1.1340085780137994e-08,1.1774744370801764e-08,1.2367604390167455e-08
STD_BMI,2.4206832570314713e-09,2.41294419925056e-09,2.266012617113124e-09,2.3921395725726693e-09,2.3545100677636945e-09,2.2964140007859874e-09,2.3844131389710795e-09,2.344733838895792e-09,2.3380816514611157e-09,2.4315842863718174e-09
BMI_MEASURE_COUNTS,1.3277204602609155e-08,1.3666132827347374e-08,1.3153318684595613e-08,1.2613257704871863e-08,1.2807572817792265e-08,1.243032421489077e-08,1.2891608938308253e-08,1.2766776835345576e-08,1.300237494333651e-08,1.2381693966098336e-08
MIN_SYSTOLIC,-1.9307740206729816e-08,-1.9944734250449384e-08,-1.6655786192782894e-08,-2.0090280776031102e-08,-1.9360488536240663e-08,-1.8813097147830413e-08,-1.9928913893177272e-08,-2.045708580119451e-08,-1.9364634421243518e-08,-1.8127587287439677e-08
MAX_SYSTOLIC,4.268081548366287e-08,4.1021118598959455e-08,4.133598214989201e-08,3.9524875745845446e-08,4.1024864276033236e-08,3.884089460989948e-08,3.968737768655447e-08,4.009586313430711e-08,4.154658463687918e-08,4.0140647910341796e-08
