FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
DURATION_BF_BASELINE,-1.5052053631177691e-05,-1.478040453194015e-05,-1.5048645551943626e-05,-1.4943169487740756e-05,-1.4164377816372506e-05,-1.4292105678061147e-05,-1.432714506517427e-05,-1.564054400382701e-05,-1.4675455443394154e-05,-1.4873981830196358e-05
SMOKING,9.61707101215654e-06,9.434612693642869e-06,9.497261367667942e-06,9.554143896279168e-06,9.775645312795938e-06,9.66827643579245e-06,9.297927629123903e-06,1.4752973413984824e-05,9.193166548105463e-06,9.301538964997403e-06
MIN_BMI,3.295353392599389e-05,3.6944850032670815e-05,3.6166088676989104e-05,3.8162944136546204e-05,3.97443084112983e-05,3.186833139539173e-05,3.5507864373339496e-05,4.879133961315331e-05,3.484187835983999e-05,3.7085579008124935e-05
MAX_BMI,6.654599619227205e-05,7.064054717956056e-05,6.90486035865938e-05,7.207909054460308e-05,7.095508643388327e-05,6.592708218561233e-05,6.688284189897665e-05,9.220992802064862e-05,6.829134767060002e-05,7.149683126650296e-05
MEDIAN_BMI,4.64860156174003e-05,5.045239513879775e-05,4.871409962824074e-05,5.1671827369980836e-05,5.25539113467859e-05,4.5120582285202573e-05,4.743604322024412e-05,6.385272222548428e-05,4.791696566050966e-05,5.034649618769513e-05
MEAN_BMI,4.748082842344206e-05,5.155185365614034e-05,4.9803631908228256e-05,5.294965778486697e-05,5.34365934769267e-05,4.631647363751326e-05,4.870011208096707e-05,6.618859045587047e-05,4.925754513033632e-05,5.161714445328117e-05
STD_BMI,1.0543807133838624e-05,1.0323250500520867e-05,9.758239823656253e-06,1.0958814015978019e-05,9.386538690845059e-06,1.0538643853970984e-05,9.550153325461641e-06,1.2925491897430266e-05,1.0358341120765708e-05,1.1050416141092682e-05
MAX_SYSTOLIC,0.00014189884515046424,0.00012809244467013384,0.0001356599381240782,0.0001405588720327179,0.00014191535829289112,0.00013118798182940408,0.0001233713530710563,0.00015463765117018375,0.000136514583638693,0.0001309881146727251
MEDIAN_SYSTOLIC,-2.2809729368655615e-05,-2.8884917039356124e-05,-1.831688584933809e-05,-1.8894771721964983e-05,-2.0314466871809725e-05,-2.8565660985728044e-05,-3.111314467664711e-05,-5.7593373554909454e-05,-2.3235476498276763e-05,-3.3533179288319555e-05
MEAN_SYSTOLIC,-1.8035170847293767e-05,-2.4425086242157534e-05,-1.3929770915563704e-05,-1.4006993807083759e-05,-1.4172285662624277e-05,-2.3861706205746897e-05,-2.8396785734342743e-05,-5.096478887291297e-05,-1.7024665540840092e-05,-2.689180000776258e-05
STD_SYSTOLIC,8.532045607900928e-05,7.933196607391142e-05,7.90092369781798e-05,8.259369636188375e-05,8.123486111328566e-05,7.865785290197107e-05,8.078023173644421e-05,0.00010676674373812797,8.087177940798615e-05,8.222306456306135e-05
MEDIAN_DIASTOLIC,-3.466279440032204e-05,-3.569758448581661e-05,-3.693758138763149e-05,-3.445326313692459e-05,-3.783351894578276e-05,-3.619929586092724e-05,-3.265475522152807e-05,-5.3726438672763e-05,-2.9935249496904667e-05,-4.039827810494912e-05
MEAN_DIASTOLIC,-3.5773723334076146e-05,-3.776326928062362e-05,-3.770434909371227e-05,-3.514580030028856e-05,-3.6567753221391885e-05,-3.525596533500198e-05,-3.2462436109176524e-05,-5.523695013794385e-05,-3.166887559783696e-05,-3.9070982377952366e-05
STD_DIASTOLIC,5.48159977933459e-05,5.257866344385562e-05,5.158623221386791e-05,5.1647818225879916e-05,5.145075506047145e-05,5.3838732521745717e-05,5.240358918190432e-05,7.641753357003676e-05,5.294548220823902e-05,5.074413994548656e-05
"('%SAT', 'MAX_VALUE')",-2.039347897965687e-05,-2.4039600992834466e-05,-2.3761861575247295e-05,-1.9862387204597735e-05,-2.2624419921287384e-05,-2.1823007847667975e-05,-2.1560626834238057e-05,-3.649924966027013e-05,-2.2971601654384246e-05,-2.335470545685145e-05
"('125DHy', 'MEDIAN_VALUE')",-1.9561943295058924e-05,-1.7557659474303e-05,-1.882107132713593e-05,-1.847788838813916e-05,-2.0693182785321255e-05,-1.759935615309457e-05,-1.9360654960920945e-05,-2.3263485145957113e-05,-1.7741981447113404e-05,-1.7302725732385365e-05
"('125DHy', 'MIN_VALUE')",-2.0880438012009262e-05,-1.855922911605106e-05,-1.9010627935011933e-05,-1.921745273727405e-05,-2.1976869236751057e-05,-1.8855086106042938e-05,-2.1039227772095804e-05,-2.4964591139501038e-05,-1.85928300823452e-05,-1.8877934152136205e-05
"('25HyD3', 'MIN_VALUE')",-1.8594316833897116e-05,-1.7715364590840336e-05,-1.54443308337581e-05,-1.8116159856792958e-05,-1.9614939828358128e-05,-2.0219733469788497e-05,-2.059717729381867e-05,-2.8222014959295892e-05,-2.0458464472827566e-05,-1.9648761602948613e-05
"('AFPTum', 'MAX_VALUE')",-6.174068356448272e-05,-6.051517100560278e-05,-1.5929616279228532e-05,-6.459849583643466e-05,-6.20538518280727e-05,-6.214047514515552e-05,-5.7156879969528315e-05,-8.49456961355632e-05,-5.304777794399419e-05,-6.084850933643541e-05
"('AN-GAP', 'MEAN_VALUE')",1.0173983085620532e-06,1.7358013408743345e-06,1.008276356059545e-06,1.571692582544711e-06,3.7673180341762397e-07,2.1236600801316883e-06,3.4468004742994535e-07,2.728869343329606e-06,1.5376441839199963e-06,1.2084803749190978e-06
"('Alb', 'MAX_VALUE')",-6.328213722247956e-06,-6.48603691486388e-06,-6.816422198632435e-06,-6.593342193070818e-06,-6.429550772799365e-06,-6.1956224017793295e-06,-6.125730455237359e-06,-9.561979493229816e-06,-6.252929150350667e-06,-6.713686195785708e-06
"('Alb', 'MEAN_VALUE')",-8.714909082764827e-06,-8.822352628835823e-06,-8.97251587740872e-06,-8.813295555000858e-06,-8.763030726931967e-06,-8.466586019362468e-06,-8.485926300283353e-06,-1.2575475681800624e-05,-8.606410237428328e-06,-8.94560453260501e-06
"('AlbCnc', 'STD_VALUE')",0.00011531964174166865,0.00010398081446446524,6.337530179690144e-05,8.256701478044169e-05,0.00010562376751553834,0.00012429455613398465,0.00011130433654010395,0.00011071625534858675,0.00011660037376389172,9.765002826443183e-05
