FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
SMOKING,3.867049611287426e-06,3.752972074881145e-06,3.898650074727155e-06,3.8066680169708513e-06,4.136708830144904e-06,3.902228397047095e-06,3.7160973564244076e-06,3.8223460887009106e-06,3.157796232134315e-05,3.861292920453034e-06
MIN_BMI,1.2878438755792082e-05,1.2746818513101127e-05,1.1584658652602902e-05,1.3489304004042515e-05,1.2119706559560946e-05,1.1067932214139797e-05,1.2018154103694656e-05,1.1209605674100565e-05,7.982802824045054e-05,1.1330667141216457e-05
MAX_BMI,3.299602537399772e-05,3.080729809428096e-05,3.007466613369893e-05,3.174127590991861e-05,3.213163191078662e-05,2.9836877277969365e-05,3.1230357385004183e-05,2.916332797072758e-05,0.00019131286288521802,2.8705347433845257e-05
MEDIAN_BMI,2.120986403355339e-05,1.9872387041685633e-05,1.897358454419621e-05,2.1483124360627903e-05,2.0404736912372455e-05,1.8867155123209482e-05,1.978541022646638e-05,1.8418352015893077e-05,0.00012520133713674929,1.8480507320594137e-05
MEAN_BMI,2.171940178559376e-05,2.0416778360094425e-05,1.9543276423025934e-05,2.1744579290724514e-05,2.0885095984476346e-05,1.9386113773632765e-05,2.0226504281171907e-05,1.902456116380493e-05,0.00012832525357135235,1.8891571427521816e-05
STD_BMI,6.377600219445847e-06,5.549742913933743e-06,6.016604312216847e-06,5.626042764965624e-06,6.251178079660128e-06,5.747718669664965e-06,5.968209130665488e-06,5.653163100708249e-06,3.432562611025234e-05,5.461681160685955e-06
MAX_SYSTOLIC,6.66339772013189e-05,5.52183913817315e-05,5.179050108787022e-05,5.9320058226587486e-05,5.506036411564639e-05,5.458146832740713e-05,5.980221909709677e-05,6.054895241889051e-05,0.0003179787240494544,5.596143672444135e-05
MEDIAN_SYSTOLIC,-1.722275491689718e-05,-2.7742391114439954e-05,-2.6421557831445925e-05,-2.495961908565811e-05,-2.9351709962990372e-05,-2.9592897780698932e-05,-2.566886543374713e-05,-2.593995729671806e-05,-0.0002033286829870928,-2.583750727607334e-05
STD_SYSTOLIC,3.969290442428301e-05,3.9586546850480755e-05,3.726262834869849e-05,3.977883764574424e-05,4.031786055528583e-05,3.9407760065566296e-05,4.1160179021918253e-05,4.0678290693760004e-05,0.00025413911851422086,3.939992470125317e-05
MEDIAN_DIASTOLIC,-2.171129460715736e-05,-2.9696802755513018e-05,-2.6891846838972566e-05,-2.7758854471141376e-05,-2.8035813858131063e-05,-2.8273809029168384e-05,-2.5086087988016124e-05,-2.56501274398665e-05,-0.00019067003540899975,-2.4748800412529144e-05
MEAN_DIASTOLIC,-2.123830648680631e-05,-2.9044992608395802e-05,-2.6912290607054892e-05,-2.6964699527573025e-05,-2.8255632859420992e-05,-2.801314151970763e-05,-2.5106708296918045e-05,-2.588337226880067e-05,-0.00019060132710860936,-2.507069491721539e-05
SYSTOLIC_MEASURE_COUNTS,6.136769942010935e-05,6.31324846204525e-05,6.073361479664916e-05,6.112337539561595e-05,6.317383740761524e-05,6.215711174690922e-05,6.533452668257624e-05,6.138491633191846e-05,0.00032184573658470774,6.205387164848365e-05
"('%SAT', 'MAX_VALUE')",-1.1079049819265172e-05,-1.1875749558311443e-05,-1.2027801658174827e-05,-1.1129547011844539e-05,-1.066204909377746e-05,-1.0968712563213349e-05,-1.1784982938743279e-05,-1.2613427563325766e-05,-8.832221963644153e-05,-1.110042518472363e-05
"('125DHy', 'MAX_VALUE')",-1.3258961506806173e-05,-1.3625523268054716e-05,-1.1678282423964592e-05,-1.1244486531377636e-05,-1.3132633353341102e-05,-1.2838958461252663e-05,-1.2943278432500068e-05,-1.3983766635535522e-05,-0.00010277016507768636,-1.2386393125266411e-05
"('125DHy', 'MIN_VALUE')",-1.2608852888173767e-05,-1.199747078421847e-05,-1.1344033629549229e-05,-1.0238672455587078e-05,-1.2306996357555746e-05,-1.2451786918191487e-05,-1.2255987865174393e-05,-1.1345306989844441e-05,-9.370114108631383e-05,-1.2092011847980854e-05
"('25DTot', 'MEAN_VALUE')",-1.025935139228965e-05,-1.1601518304182455e-05,-1.1960372480309631e-05,-1.1061486485810664e-05,-1.2034856831082919e-05,-1.1061426797421665e-05,-1.1926542167419738e-05,-1.0660656312618156e-05,-6.640678320742517e-05,-1.223274427845522e-05
