FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
DURATION_BF_BASELINE,1.283635004806711e-07,8.949367154190545e-08,1.3264105771716805e-07,3.858147429505404e-08,1.474886173326096e-07,1.331895373231484e-07,4.90220630822551e-08,1.0522404276713976e-07,9.144627519762864e-08,9.676210117724573e-08
SMOKING,5.732732506029208e-09,5.783679478260809e-09,5.758183682420587e-09,5.7970593584276565e-09,5.79039940542424e-09,5.756989757334097e-09,5.733193192220195e-09,5.77781762962447e-09,5.6753530311965555e-09,5.795327093481427e-09
MIN_BMI,2.27760726406827e-08,2.2817044915626045e-08,2.275570803594541e-08,2.2137339051218306e-08,2.296362849488704e-08,2.1972578026612113e-08,2.1068929579174347e-08,2.2014014984260496e-08,2.155658601797254e-08,2.295117129445441e-08
MAX_BMI,3.900401588794226e-08,3.880178369171925e-08,3.9155544570126214e-08,3.827780671837805e-08,3.8755853510715964e-08,3.8440012987402965e-08,3.701514731977887e-08,3.834617981875856e-08,3.6844787961099696e-08,3.891139091704673e-08
MEDIAN_BMI,3.033058434099413e-08,3.026765029591409e-08,3.007319741860278e-08,2.9483863405223464e-08,3.014576243226041e-08,2.970762779102612e-08,2.845817027524238e-08,2.9511481694551565e-08,2.888872036551981e-08,3.035423142264767e-08
MEAN_BMI,3.047871982041399e-08,3.0435629839797313e-08,3.039242884263456e-08,2.9753675842843528e-08,3.0362225226277883e-08,2.992482644738103e-08,2.866938079579232e-08,2.9760809590740834e-08,2.8969995348341107e-08,3.0545917956733314e-08
STD_BMI,5.2708248227908335e-09,5.2329339015884e-09,5.380096490557126e-09,5.2910289459621445e-09,5.236809964166852e-09,5.397997799663305e-09,5.198599719039038e-09,5.418338408906772e-09,4.934652516925657e-09,5.25106829731469e-09
BMI_MEASURE_COUNTS,3.1837089520628484e-08,3.1835377657182706e-08,3.201302900174236e-08,3.042554309760595e-08,3.193877466189844e-08,3.2071181477434036e-08,3.189949727929102e-08,3.225293825049431e-08,3.1890890365894525e-08,3.086935316960529e-08
MIN_SYSTOLIC,-5.824345254775157e-09,-4.574225449562735e-09,-4.751549508991765e-09,-5.1225796901120275e-09,-5.4848499263420754e-09,-6.3338694313241415e-09,-8.436590737018913e-09,-8.391950908500953e-09,-5.016461106662838e-09,-6.508733081052922e-09
MAX_SYSTOLIC,1.3645906086231723e-07,1.3838469953090214e-07,1.4172266662758636e-07,1.363821262088176e-07,1.3894822311159145e-07,1.4119298294997413e-07,1.3682808521419505e-07,1.371751482419949e-07,1.4045667063213263e-07,1.3723710882102988e-07
