FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
DURATION_BF_BASELINE,-0.0378566783630278,-0.036259314798781764,-0.03645024632567471,-0.03582405613636501,-0.03631619556830346,-0.03687521351488077,-0.03525272908679862,-0.03608926356617819,-0.0350913618556156,-0.03505711358134128
SMOKING,0.2525515156329826,0.25009490916884514,0.2497265206433792,0.25740545648165947,0.24926191161535,0.2498309980416223,0.2549009402275675,0.25116450548099895,0.25552486183729817,0.25075901840850695
MIN_BMI,0.038558408160196574,0.038569624071031865,0.04231948368976061,0.04324020782526681,0.03514914072430682,0.03803374254249473,0.034584451750567805,0.0348470152414667,0.0354633154792673,0.03620466953542321
STD_BMI,-0.00938089328723746,-0.01241028845764886,-0.01337885451165487,-0.016594023823806862,-0.019782023263287735,-0.020975677764823508,-0.01578804010463569,-0.014827601277164721,-0.017986215535989676,-0.017108359775905607
MAX_SYSTOLIC,0.028004701224527837,0.03159750392745892,0.029367032517838138,0.0017084316132518894,0.00778590618469204,0.007239020682156864,0.03364787212007229,0.014779293258644362,0.014202874135600762,0.043658987409650324
MEAN_SYSTOLIC,0.04618658488948437,0.04829476068691092,0.043707600276904394,0.0692856485847581,0.06827298457903794,0.063115829895145,0.04363692118404856,0.059151860025142076,0.05848307574712718,0.041878394436437906
STD_SYSTOLIC,-0.01322989279505928,-0.011387424546838167,-0.007559859242171882,-0.004577903888173753,-0.004775221638318577,-3.575586495474939e-06,-0.01215596637912278,-0.005393640702160915,-0.005665846694850639,-0.012589576221634204
"('25DTot', 'MAX_VALUE')",-0.012493856003010494,-0.01305263229760188,-0.02021268946934052,-0.009974744156957559,-0.008744922019259017,-0.01085634071741219,-0.012633217972723116,-0.008396726200433401,-0.0041036495619941275,-0.0037536049497483
"('25DTot', 'MEAN_VALUE')",-0.027091995958677857,-0.018730407759649115,-0.020403033547757316,-0.02019309995101809,-0.018484926113805263,-0.01964963930233613,-0.027254382641711556,-0.018279243207137506,-0.020889939146167734,-0.03130705977695305
"('25DTot', 'MIN_VALUE')",0.017136161682847904,0.014751801772080958,0.016732054831225047,0.01126388033947343,0.010003691580818345,0.00962963131127839,0.015615726335462822,0.014014614266845839,0.010280500247795728,0.018236468067276853
"('25HyD2', 'MIN_VALUE')",0.010894981828462406,0.011426908358539606,0.01082201542855603,0.013691119342261355,0.009726227347243939,0.013590954919140336,0.008229011688614259,0.010265560778641306,0.011362058363074619,0.013015375749876155
"('AFPTum', 'MIN_VALUE')",-0.028026559004063457,-0.005674235053416928,-0.02505922581933876,-0.028870507589549736,-0.026843270588168964,-0.02850038265941549,-0.028220979459616134,-0.02617375401344943,-0.031069380621876575,-0.027002275872648456
"('AN-GAP', 'MAX_VALUE')",-0.014574673888996139,-0.014818119830174139,-0.01831057599321572,-0.01767325649453824,-0.0187045688481923,-0.026336433335121284,-0.020302776896462423,-0.019914369080127278,-0.016283209506913306,-0.02328192871785192
"('Alb', 'MAX_VALUE')",-0.02767275311898695,-0.02486858711316171,-0.014422030662690275,-0.01664906228082762,0.0007089221387250488,-0.010806370093856882,-0.02279952750845111,-0.020563752159601694,-0.021434209838065207,-0.006482474789239214
"('Alb', 'MEAN_VALUE')",-0.011154784461797622,-0.00408784312492162,-0.01847467638722955,-0.010566374541310068,-0.007018240021388365,-0.005331741970514544,-0.010639407471407448,-0.003622890666903175,-0.018096097133486876,-0.011199915038019198
"('Alb', 'MEDIAN_VALUE')",-0.04226130208464518,-0.036340997512703,-0.0361036820534677,-0.04697978996379396,-0.04084925921833165,-0.054548555482326684,-0.03624687481817127,-0.04539338744482099,-0.031047596176935085,-0.05001840463424378
"('Alb', 'MIN_VALUE')",0.022151467340913555,0.008582252738931035,0.015279251194975987,0.02509195355077587,-0.006224162125632059,0.013631713178896668,0.017404016031595925,0.011858160289352684,0.014879017520751799,0.007076469475220096
"('Alb', 'STD_VALUE')",-0.0005840571839769173,-0.0009704350144176122,0.009477470365275872,0.006965176092556833,-0.019155599396576038,0.0030649455171638086,-0.0007348175043133616,-0.0011456471260290857,0.006684519476577034,-0.009287156015081562
"('AlbCnc', 'STD_VALUE')",-0.0001230178596507664,-2.262829980943001e-06,0.004939163620037745,-0.0013006694087596676,-0.007855795393317945,-0.0005246838782506045,-0.0004045164278299817,-0.0072805418467643546,0.00010332249595137206,9.211073336762732e-05
"('AlkP', 'MIN_VALUE')",0.03175365776536195,0.02324096883841334,0.026579534347714456,0.026694017545147948,0.027743604968205125,0.0270174837939176,0.029768226461386174,0.03329615372995397,0.02795404557964193,0.029422106652991522
"('BASOAB', 'MAX_VALUE')",0.005838446567912008,-0.00891577616487232,-0.014106506553411266,0.00808492892256642,0.00305855282952444,-0.002660465757477232,-0.00596061555246826,-0.0019810794282753216,-0.003858764086707131,-0.01767534494567306
"('BASOAB', 'MEDIAN_VALUE')",0.0020164599367111184,0.01328953605301575,0.013189293856329802,-0.010279761722552341,0.0016368584740541034,0.005347246373922149,0.008543397093713864,0.0005981853084469451,0.004394908417013298,0.018178762040335805
"('BAbs', 'MEDIAN_VALUE')",0.017086320979104678,0.013555094496678351,0.008386423350079974,0.021211442571560643,0.023097185104669966,0.02001558834970579,0.017156766686854848,0.027575816014570875,0.013797110648382235,0.017272179561987833
"('BNP', 'MAX_VALUE')",0.0032086218371984894,0.009968665107215752,0.012914116371732008,0.015135060613591239,0.0068939852525355385,0.0045548371532622865,0.010678730463030741,0.008835562758054864,0.00890560983041214,0.014498498476034762
"('BNP', 'MIN_VALUE')",0.014632773401805127,0.0063497946298407635,0.008249006527681887,-0.0014483506256052843,0.007640264893828981,0.011093820311563553,0.005486953843460964,0.007279324787395724,0.007665967615540239,0.002299746832997765
"('BUN', 'MAX_VALUE')",-0.044069939837961355,-0.03910916417833434,-0.03436576442124835,-0.03879001631246916,-0.040338775400765324,-0.0387198425728387,-0.04395402613786277,-0.027228049041464066,-0.03438241504296265,-0.039395302607363104
"('BUN', 'MEAN_VALUE')",0.0380162856427818,0.035775258052766865,0.036636703790683525,0.03850064639062491,0.03978610817705043,0.04172759078633425,0.03211918790798763,0.032704267831366984,0.03348683363613864,0.04215136781445175
"('BUN', 'MEDIAN_VALUE')",0.007832688509682448,-0.00582525391747506,-0.002269834720244828,-0.0041860235266280065,-0.000854163617808808,-0.012146816752179863,0.008015802399464426,-0.006244210130935567,0.002215411683376857,-0.0015621061175934282
