FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
DURATION_BF_BASELINE,-2.8053373240947637e-05,-1.876398655540454e-05,-1.860821613383151e-05,-1.952578682936651e-05,-1.8617416348592418e-05,-1.8478060770075195e-05,-1.8804851114652648e-05,-1.875607224425648e-05,-1.901367804922708e-05,-1.9129370480614678e-05
SMOKING,0.0008652038807973112,8.332253345025516e-06,8.212272520383335e-06,8.1801727782496e-06,8.30708673784509e-06,8.228504561570174e-06,8.29999189461285e-06,8.452591275825217e-06,8.459807542810767e-06,8.404982144350593e-06
MIN_BMI,0.0008501667037894357,1.3339174662328814e-05,1.3256625175078093e-05,1.1721516783445101e-05,1.2919553919374291e-05,1.2670496624269475e-05,1.3689794191575165e-05,1.4512397972293826e-05,1.3617072488162181e-05,1.3217916147598169e-05
STD_BMI,-3.183064043229785e-05,5.844025500095753e-06,5.998008944010721e-06,5.7772866268513944e-06,6.1198794845097505e-06,5.678382424698935e-06,5.57288229102033e-06,6.107773366582767e-06,5.844270988348416e-06,5.8273836455069596e-06
MAX_SYSTOLIC,0.0027817158817637425,9.706064668880772e-05,0.00010049430131533186,9.731067046579154e-05,0.00010187115850753289,9.653322932869146e-05,0.00010393712619627388,0.00010178314776159958,9.25902315690982e-05,9.821055599922974e-05
MEAN_SYSTOLIC,0.0010402060023144719,7.116967044537581e-06,9.709415588144852e-06,6.8577173350939795e-06,1.125664073614021e-05,6.347580781789385e-06,1.2645617460912505e-05,1.0798901021537842e-05,4.4145469899354885e-06,7.863789987871959e-06
STD_SYSTOLIC,0.0010326234431868512,4.3823578181217385e-05,4.404985498564098e-05,4.3150217626631646e-05,4.4330342939123846e-05,4.344187886535452e-05,4.3738262066372204e-05,4.38867460453343e-05,4.194821348815734e-05,4.3638286122761705e-05
"('25DTot', 'MAX_VALUE')",-0.0008896070104391622,-1.71254759990881e-05,-1.731164680115982e-05,-1.8101823861088652e-05,-1.771792573601243e-05,-1.8221242375420505e-05,-1.726242993259293e-05,-1.8849042348185524e-05,-1.870295011690798e-05,-1.87681058529751e-05
"('25DTot', 'MEAN_VALUE')",-0.0009088931777763955,-1.8462067404621253e-05,-1.9046732641477366e-05,-1.9992595905868878e-05,-1.92292059288731e-05,-1.929568213144661e-05,-1.8607201436423426e-05,-2.0397614418659818e-05,-2.0252112169178292e-05,-2.0112795429104754e-05
"('25DTot', 'MIN_VALUE')",-0.0008892698782017863,-1.890464213697335e-05,-1.998342592187754e-05,-2.102173316173758e-05,-1.9769477227888707e-05,-1.930702377568859e-05,-1.9195286571285055e-05,-2.1136851966038607e-05,-2.0855061598171218e-05,-2.0622802564622453e-05
"('25HyD2', 'MIN_VALUE')",0.00019594529627635007,-3.925955616288632e-06,-4.075056034810074e-06,-4.195739766762951e-06,-3.4383828704290636e-06,-4.159029685371379e-06,-3.7144778834241743e-06,-3.6985159094259198e-06,-3.5842494729345075e-06,-3.4936763945656404e-06
"('AFPTum', 'MIN_VALUE')",-0.000423212538058604,-6.238991212803851e-06,-7.855192869467276e-06,-8.226993985479637e-06,-7.754992048736259e-06,-8.261672352974082e-06,-8.091879900526143e-06,-7.586235769353843e-06,-7.640981781973004e-06,-2.2301411044048856e-06
"('AN-GAP', 'MAX_VALUE')",-0.0001801802717758317,9.954270237229781e-06,1.0698080266443379e-05,1.0987092740089749e-05,1.0940360827641575e-05,1.0215556189886024e-05,1.0993968725083082e-05,1.0806329907767693e-05,1.0341315611655108e-05,1.0386807235531729e-05
"('Alb', 'MAX_VALUE')",-0.00022340925035090325,-4.248764444209547e-06,-4.176016335671224e-06,-4.175047923823103e-06,-4.049570834086819e-06,-4.165646690671607e-06,-4.11634089880249e-06,-4.1260200148013e-06,-4.174847040070448e-06,-4.137986584914452e-06
"('Alb', 'MEAN_VALUE')",-0.0002344190564073843,-5.21552640711809e-06,-5.120149033230929e-06,-5.1814953601022e-06,-5.085256819840751e-06,-5.144069592501418e-06,-5.13208741238925e-06,-5.114459030240608e-06,-5.190567880924083e-06,-5.152833623138881e-06
"('Alb', 'MEDIAN_VALUE')",-0.0002347635404195612,-5.207279550743591e-06,-5.1029233649984404e-06,-5.170271423429622e-06,-5.074883950090028e-06,-5.1254065311490034e-06,-5.11998073517353e-06,-5.089191086421952e-06,-5.1683682674971945e-06,-5.132656606877887e-06
"('Alb', 'MIN_VALUE')",-0.0002488518147900953,-6.428005819044826e-06,-6.30850741508012e-06,-6.435884613817807e-06,-6.35498353556507e-06,-6.3761183489527705e-06,-6.4009975459872975e-06,-6.384005166799218e-06,-6.459558574746093e-06,-6.4300277901359256e-06
"('Alb', 'STD_VALUE')",1.7206162795222e-05,7.383792231292647e-07,7.244996933877801e-07,7.555729829022882e-07,7.839480003654627e-07,7.534112987341393e-07,7.603626888644685e-07,7.678810615032104e-07,7.630347364337919e-07,7.59779641783305e-07
"('AlbCnc', 'STD_VALUE')",9.501303712394119e-05,9.078579771826244e-05,8.995479970833277e-05,0.00010273898950385036,9.871641323135638e-05,9.674323514492232e-05,9.728919896457089e-05,8.851959087005266e-05,9.186810211312894e-05,0.00010852731922689874
