FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
DURATION_BF_BASELINE,0.0015126794904337087,0.0012504204452517792,0.0015189190718380404,0.0012990494189646015,0.0012037724858174953,0.0012018698222654,0.0014129948382735457,0.0014168411531867765,0.001773710290242434,0.0013595177636116706
SMOKING,0.031238029081691758,0.03170362754734743,0.029973359196106057,0.029587887655257546,0.03170984454129191,0.029632662356628415,0.02953802953645708,0.024857961582088903,0.03096078754479573,0.02503670025737029
MIN_BMI,0.0018935760812921346,0.0013282654574860242,0.0013563335808329255,0.0016878272262815977,0.0013340382337255147,0.0014104915260393688,0.001352409984321734,0.0021636903439970754,0.001498668479577913,0.0012390283850630221
MAX_BMI,0.0026343383893857523,0.002108656122027798,0.0019625035487508603,0.002193557942790845,0.0018608989513029836,0.0021061138838476883,0.0021500775664544756,0.0035142883350769046,0.002049011570026726,0.0019325793563239179
MEDIAN_BMI,0.0020009289586399234,0.001749578044450737,0.0012446757306542483,0.0015610238161465869,0.001644681277291872,0.0018716423469014973,0.0017397281665953049,0.001362635411167243,0.0018890817704262373,0.0018037970815935084
MEAN_BMI,0.0016956224573611628,0.0015791509834888495,0.0012481035019495119,0.0015375688021855482,0.0015331505564049894,0.0019877432447914776,0.0021384249824525853,0.0015397922065746902,0.0021778060295230507,0.0019122919590017096
STD_BMI,0.0009922143858826506,0.0013658390134225298,0.0008892568316045447,0.0008987524092626657,0.0007133543104926916,0.0010849736751230468,0.0007133569858003702,0.00105308371423282,0.0008911412922407659,0.0007182042820534113
BMI_MEASURE_COUNTS,0.0005463730798921384,0.000679243381948514,0.0005651346858035375,0.0007051598135225417,0.0006555739603125017,0.00042354229478167976,0.0004591786436101435,0.0006644789745808602,0.0005514313159068492,0.0005909474563199149
MIN_SYSTOLIC,0.001547433471703219,0.0012164135341276498,0.0010740164731258073,0.0012456706482781349,0.0012369430912510693,0.001634407032804694,0.0010555813202846609,0.0012960241111553644,0.0016018600112505607,0.001471937421363703
MAX_SYSTOLIC,0.005441283712903414,0.004808997622361294,0.006095000978914376,0.006504161159798996,0.006960379098785822,0.004321562703274121,0.006227226698354061,0.0036288271253767,0.004397896931176575,0.0052170115102317645
MEDIAN_SYSTOLIC,0.003989354561595856,0.003676100086926929,0.0028137938950324715,0.0027195629864329696,0.003339411449034927,0.003784308208042067,0.004449924877011485,0.003687496530257456,0.0028589195190115197,0.002893783135717692
MEAN_SYSTOLIC,0.005021775247702524,0.0065752825750432595,0.005297760261722437,0.0030819964470741763,0.0046782087662009504,0.004586148220918518,0.004527572970197317,0.004382176803528828,0.004948825503052545,0.004326869532595425
STD_SYSTOLIC,0.001503377706568046,0.0015615210233276538,0.0020946841438871785,0.0010334988607016587,0.0011018494148363623,0.0012073974180175152,0.0010765665699012156,0.0007933900255208355,0.001102731685095658,0.0009255136872308508
MIN_DIASTOLIC,0.0018190115915576884,0.0017778557786950375,0.0018649197195544742,0.0013369849947012763,0.00177508830439515,0.001016490196511006,0.0012434062765898281,0.0016407374601045818,0.0016701601607770837,0.0017167739228297965
MAX_DIASTOLIC,0.0020788776567648077,0.0025550414237397816,0.0015298751000726507,0.0014869767805292715,0.0014381056669232168,0.002065015987220937,0.00155772488126952,0.0014735656156279948,0.0013672233297057537,0.0011454002864095816
MEDIAN_DIASTOLIC,0.001673317716964499,0.0013613244796057105,0.0013436373879248732,0.0012936560010007446,0.0011630884169901113,0.0016504628773162094,0.0013059206865124163,0.0017907213398419513,0.001434132708236728,0.0013816275338773662
MEAN_DIASTOLIC,0.0018410021978857197,0.002097302573588625,0.0017764722977537367,0.001926727876053088,0.002266690936207942,0.002020618799108075,0.002269401059884814,0.0022351417341853297,0.003101978175997751,0.0025976645422071875
STD_DIASTOLIC,0.0009514265661714403,0.0012187103984379341,0.0008116299224515491,0.0007614231926191297,0.0005519962941150585,0.0006669974066937243,0.0014118159606400196,0.0011356537087482473,0.0010053302771017806,0.0005837091211729472
SYSTOLIC_MEASURE_COUNTS,0.0002997594629203159,0.0009212905289600808,0.00019066226767020008,0.0008312675760239704,0.00042038982314653977,0.0006380680514489388,0.0006804304441874474,0.0004718708258950004,0.0005331440792265336,0.0006065783241239951
"('%SAT', 'MAX_VALUE')",0.00028542046344817116,0.0004131231182812158,0.00031601239056048414,0.00016183007600462372,0.0002975006281077842,0.00031497176894683426,0.0001507369476299976,0.00030378962380153154,0.0002697466233282064,0.00019761173862996328
"('%SAT', 'MEAN_VALUE')",0.00028778716695286013,0.00040426797461969553,0.00027985320877342123,0.00021432189786942926,0.0005322945294752538,0.00034697336097581026,0.0003849058921419135,0.00021698066625768056,0.00022504552224854833,0.00031319311825901285
"('%SAT', 'MEASURE_COUNTS')",2.2994590881203894e-05,3.308083206634972e-05,0.0,3.652100876075417e-05,5.000634445091808e-06,4.083573133475889e-05,3.510709086577985e-05,2.7684499568983323e-05,7.413636512205436e-06,0.0
"('%SAT', 'MEDIAN_VALUE')",0.00045152763387633533,0.0004325406007689162,0.00029861409171036185,0.00034956859254961725,0.0005110911797411351,0.0005181537716423157,0.00045883987523185135,0.0003264789195928452,0.00019301655600578366,0.0002338179013654186
"('%SAT', 'MIN_VALUE')",0.0005880949795678232,0.000380438005609871,0.00029633038384233165,0.00046118788751252463,0.0004460911936973995,0.00045916607292898897,0.0004478183500622999,0.00030255710588343175,0.0004087838154389813,0.0004010316259597269
"('%SAT', 'STD_VALUE')",1.569381019220694e-05,3.113706231167746e-05,5.028835952176865e-05,2.1699185044812572e-05,0.00010350330045110176,7.86559405023023e-05,7.97471041226992e-06,8.191223382926103e-06,7.715368681845065e-05,2.9604879342903194e-05
"('125DHy', 'MAX_VALUE')",0.0002869421538458229,0.00016614257656163666,0.00013701345922790186,0.000321988903556748,0.00025069084691240086,0.00023446637660242274,0.00020039601738083138,8.911043115573985e-05,0.0001653092074676329,0.00010432632500132715
"('125DHy', 'MEAN_VALUE')",0.00012700037517336232,0.00011134365871331807,0.00014915399120044758,0.00022980759628067686,0.00026599262541567064,0.00018683968607314093,0.0002056221851656075,0.00020497346742326964,0.00027758126034220715,0.0002229910723460471
