FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
DURATION_BF_BASELINE,0.0033636735661236,0.003284567841794031,0.003151013858678711,0.0032433837237221775,0.003158300039075067,0.0030486682253280835,0.0031282142591544573,0.003279682483593516,0.0035506228534430144,0.002989350835402917
SMOKING,0.02862014404972065,0.027882657384031378,0.03009535896675592,0.027519326398785147,0.03195477098352837,0.030779940864092536,0.03029513943754787,0.026782505000207412,0.02723661471589595,0.027304607133215725
MIN_BMI,0.0030332952761552706,0.0030076952910028047,0.0029136103471843018,0.002800817748742628,0.0032518986753167635,0.003693958139683885,0.002849007242647942,0.0029501797810139374,0.0024652711792793147,0.00300448592760019
MAX_BMI,0.0036626384741311867,0.0037818459468877243,0.003458576464559257,0.0032652978419747676,0.0042691156939055515,0.0038715040187437557,0.003246853967658997,0.0047928425011523465,0.0036799881354692395,0.0041404876571246585
MEDIAN_BMI,0.0030315461697868334,0.0035115788570102262,0.0029116890702513692,0.0026343892648231716,0.003588730438315761,0.003224357978710158,0.0036431853094545234,0.003451669961988468,0.003870768143788489,0.003130112669733005
MEAN_BMI,0.003335040257558853,0.0033321525799226053,0.0033012168266570584,0.003455281620235332,0.003565858264960553,0.003215087758525072,0.003727835391193773,0.0035118132359861416,0.0030190264019686525,0.0032862154463065697
STD_BMI,0.0023830862030523267,0.0019624320062062305,0.002039069748019223,0.0021153664938454307,0.0024275580348506265,0.0023831209208682626,0.002252763199351492,0.0020915815301254465,0.0022599686179941444,0.0021986304553736637
MAX_SYSTOLIC,0.008791827047624606,0.007308528412607747,0.008517161117750997,0.008212607516829838,0.009101096274668975,0.008007054371240468,0.0077866077847087165,0.008248992545798535,0.00783899107529873,0.00817809740021203
MEDIAN_SYSTOLIC,0.005697484600138868,0.005559225708345785,0.004719971331736867,0.005327960029547456,0.005267347579022911,0.005643349564047462,0.0052513160641719046,0.005246061367862474,0.004816579836862802,0.005840308357575426
MEAN_SYSTOLIC,0.00613756993288238,0.006798214657918075,0.006648669141392354,0.00622365029494564,0.007598289603312966,0.006785537821597517,0.0075764295532086455,0.006911846126335644,0.0064894203867287385,0.00705272212005054
STD_SYSTOLIC,0.0027449349888252327,0.002541685890928523,0.0026099789041578096,0.0027821016225594245,0.002242833014783609,0.0022632296934289075,0.0023175332502864566,0.002586772349184476,0.0024630700661502198,0.0025982272404272283
MEDIAN_DIASTOLIC,0.0029209502205915106,0.003470237577724678,0.002609417220604396,0.0030941905896329563,0.0029305323212438935,0.0031464187719497283,0.0034887819762261314,0.003146600480741549,0.002997249333823496,0.0029448775535420263
MEAN_DIASTOLIC,0.004331583268785489,0.004726641509088795,0.003795786906887452,0.004462323587277893,0.004309283567828656,0.004270344129164693,0.004864727579640063,0.003968807824919494,0.004629844680244307,0.004502464564984783
STD_DIASTOLIC,0.002129196026610503,0.0020251030973636192,0.0019734910018356,0.002187585712382756,0.0019102959439489641,0.002549064566959684,0.0023122629944153737,0.002234111412371598,0.002431472547339217,0.00232820358416571
"('%SAT', 'MAX_VALUE')",0.0011420949147757326,0.0011746641397021437,0.001049111467025914,0.0009911982450957406,0.0012396940215361422,0.000855141105316525,0.0011635520032503355,0.0010751517410132162,0.0009966148411905387,0.0011130231155678425
"('125DHy', 'MEDIAN_VALUE')",0.0008801457450681603,0.0007742541956582375,0.0009004982849348685,0.0008609281161074263,0.0009738399046306358,0.0006384854011620738,0.0009533010407143516,0.0010232018219655543,0.0010408731442404044,0.0007949756223481224
"('125DHy', 'MIN_VALUE')",0.000787802143318339,0.0010657445521772757,0.0008716756436710147,0.0008424376661796107,0.0008643192550042035,0.0009548752563577142,0.0009588667004970869,0.000977194556476922,0.000871758508755082,0.0010637164857585063
"('25HyD3', 'MIN_VALUE')",0.001391238266069762,0.0015708335315640998,0.0014445905456699922,0.001493963867165763,0.0013629380982896546,0.0013103950630135586,0.001391342881757294,0.0013570683640940554,0.001443247165935056,0.0013670481494362844
"('AFPTum', 'MAX_VALUE')",0.0012936559565797218,0.001341428172068478,0.0012637974229541826,0.0012071554472006386,0.0011907890263994424,0.0012681699405915252,0.0013148584986124375,0.0013901445699749302,0.0010913653518272867,0.0012209606842954286
"('AN-GAP', 'MEAN_VALUE')",0.002594688654000703,0.0024178058229555543,0.0025308315244321733,0.0028669293364603416,0.0028235861229848978,0.002215181834937896,0.0028433733613909954,0.0023429313719897722,0.002784332243375758,0.002412141350954222
"('Alb', 'MAX_VALUE')",0.0017729415149549462,0.0022783119560766734,0.002226934054342078,0.0019143462083008012,0.0019121962375846485,0.002096219086737468,0.001980033719333746,0.0018506692493595709,0.001950530739598532,0.0019218332606560846
"('Alb', 'MEAN_VALUE')",0.0060707278912943315,0.00553256319338232,0.00511568639840011,0.004718198890382781,0.005034401918665995,0.006154597779397565,0.005146578679646277,0.005546515670210416,0.005112083834964233,0.005608303756909628
"('AlbCnc', 'STD_VALUE')",0.000895151148910683,0.0007579472711243387,0.0007758137358969972,0.0008833646153491559,0.000850874304343656,0.0008089720849780882,0.0007808352822701597,0.0007272512148222594,0.0008797091486111218,0.000813681729449826
"('AlbCre', 'MEDIAN_VALUE')",0.0008580848708942793,0.0009691566552391275,0.0008230556256093685,0.001076850105345286,0.000996268029107298,0.0009675266949938196,0.0010533210307403995,0.0009444947558646248,0.0009617293878250266,0.0009444386800975739
"('AlkP', 'MIN_VALUE')",0.002501549586757515,0.003501985452057242,0.00312362452011837,0.0030986810100412316,0.002766418732770791,0.00328331187367154,0.0026861995728439613,0.002898035044401636,0.003720801268254899,0.003314343586597331
"('AlkP', 'STD_VALUE')",0.0018990409114455478,0.0017898379574006879,0.001826860209516138,0.0021646701506867873,0.0018757516860785349,0.0019884405329815666,0.0018823056815710606,0.0017661113964579356,0.0018607915661129101,0.0017445918348384015
"('BASOA', 'MEAN_VALUE')",0.0007229040449648256,0.0007274981172246734,0.0006119554717767591,0.0007100270644959095,0.0007613215578916716,0.0007300621712118831,0.0007106006837538193,0.0006552178843269432,0.0007067382753963179,0.0007294974632807206
"('BASOAB', 'MAX_VALUE')",0.0007671320087395038,0.0006983795842172227,0.0007050899770609091,0.0006068857133797776,0.0005235876103178437,0.0006499831676860461,0.0007350704654128366,0.0006903473594574908,0.0006486669827364761,0.0007084312522873865
