FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
SMOKING,0.03068422133521924,0.029513836569667933,0.02973396014125567,0.03674269958835172,0.02905760278745673,0.03454379201649464,0.0284595796644981,0.03318049192505202,0.028497066701638082,0.03050521253400356
MIN_BMI,0.0034637835472590885,0.003085144371820214,0.003546026783656262,0.003792185687115417,0.0032971659664557773,0.002885289679733073,0.003574248582620486,0.003233086171741766,0.0039157371122941894,0.003516976075646387
MAX_BMI,0.0033331260178533517,0.0048841820939811344,0.004270380588151051,0.003651296434532805,0.003136754121615673,0.0032434459714885257,0.004608092995457153,0.00382271828256766,0.0035896705825087033,0.003994450607286346
MEDIAN_BMI,0.0037369686768222604,0.003995607431086485,0.0033385590219527973,0.0036977083209947513,0.0034051472114138537,0.0032053584486883596,0.003311683474212014,0.0030923238896022076,0.0036685078284812776,0.0037103977932800535
MEAN_BMI,0.00420002519485355,0.004383698310716083,0.003926079287415723,0.0038052837666340458,0.003979891711545676,0.0038621762909016866,0.00385643730157048,0.003837026592268749,0.0033506917737591685,0.0040676420894371354
STD_BMI,0.0023563204847573353,0.002487271671809939,0.002598802636404423,0.0024111911940320747,0.0023834286128032647,0.0020762411859102576,0.00286516071111806,0.0028742334868587906,0.0027716577736807235,0.002358138847207008
MAX_SYSTOLIC,0.0070425508787134205,0.00837203570930011,0.008472508684549261,0.008957944955158219,0.007785170104063052,0.008976915117211087,0.009590113495483936,0.00792163091476259,0.007619538329709438,0.008265921129089073
MEDIAN_SYSTOLIC,0.006521729968346881,0.005825360353002451,0.007087819801953345,0.007891727944338952,0.005646585374219445,0.006598749708676691,0.005689300581570452,0.005639739611084514,0.005863661745770995,0.006609332655283677
STD_SYSTOLIC,0.003003068361460076,0.0028607705354187344,0.0026028835580458936,0.0023924377465957387,0.0024092770459742093,0.0030526526055406483,0.0029082674615807064,0.002663370966458296,0.003073241705778394,0.0033179306324638406
MEDIAN_DIASTOLIC,0.0031160313671611296,0.0037030740050612338,0.0037404950306135047,0.00421170496789861,0.0031008102350492317,0.0031925782869577403,0.0025930356123988947,0.002790140372067447,0.0034877142460643497,0.003456096362083535
MEAN_DIASTOLIC,0.004523866515839424,0.004938490642987715,0.005098260539562709,0.006113357865298422,0.005138698541040681,0.005297173872591496,0.0038351645372949115,0.0059578870242247015,0.005265992208254353,0.005895882199134022
SYSTOLIC_MEASURE_COUNTS,0.0017053481733499778,0.0014839299557019424,0.0014991513185969954,0.0015679479677296055,0.0014579515062909793,0.0017487254689988233,0.001732810851176921,0.0016682708212186097,0.0014071214248567194,0.001587059953797262
"('%SAT', 'MAX_VALUE')",0.0012211508978077809,0.0011992195095657321,0.000999198821694301,0.0012033940795157048,0.001535122457293454,0.0012129615393683085,0.0011443181975636016,0.0014816052670207885,0.0010393667307158285,0.0011266476467692297
"('125DHy', 'MAX_VALUE')",0.001067838457808863,0.00107247019309684,0.0009492240101745005,0.0009377824811803531,0.0009567990505721866,0.0008127686870696621,0.0014102012034702246,0.0008793916550035904,0.0008600643894886582,0.0009157790528710965
"('125DHy', 'MIN_VALUE')",0.0010953652554235775,0.0008073717941546533,0.0011270684757193356,0.0009037435900442023,0.0011387806811709073,0.0008583295978450057,0.0008987588524555473,0.0012143760799918494,0.0011293248232825289,0.0010250445817178706
"('25DTot', 'MEAN_VALUE')",0.0019759682527871174,0.001674888597695375,0.0020032972001311294,0.0017358073267102732,0.002364295156750159,0.0019500877867834458,0.0017131615525916746,0.002063922181247341,0.0019373542577859851,0.0019399385989695376
"('25HyD2', 'MEAN_VALUE')",0.0011008389665998616,0.0013539630439761009,0.0014809169128497115,0.0014896052774826063,0.0010370756726970974,0.0010748871019616785,0.0010688351940798895,0.0013596731212828811,0.0011453240079113912,0.0013171123148620761
"('AFPTum', 'MEDIAN_VALUE')",0.0013370906177507008,0.0015588409100814656,0.0011897570081853574,0.0013209833594432995,0.001427306660548462,0.0011308333216797054,0.0011125689669875287,0.001413358401207285,0.0010123501724629996,0.0010217235974376198
