FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
DURATION_BF_BASELINE,0.003435396350331255,0.0032624370846605607,0.0034969996873024005,0.003448886472450484,0.003226926862525402,0.003346588530067523,0.0032680309426461242,0.003645140584544006,0.003553766614593721,0.0034779946974135252
SMOKING,0.08067161052528274,0.08599073113620785,0.08564606903856296,0.08402376763952468,0.08961368009427875,0.09179279064506211,0.08478130113826443,0.08900067988737778,0.08366016266755023,0.09084447190108373
MIN_BMI,0.0028141780020038486,0.0029853001972614695,0.002421357941348094,0.0024939477300956873,0.003112034940691175,0.0024019062909980456,0.002410677707600754,0.0024856704125626517,0.002491657777950132,0.002412607387347213
STD_BMI,0.00174020977303846,0.0017209453901501411,0.0018558508486767329,0.001810968351788904,0.001555477475142977,0.0015172575191974567,0.0016684937683256905,0.0018475320263078617,0.0016425028130735721,0.0015223786057857063
MAX_SYSTOLIC,0.0058785714543490705,0.005093944984582995,0.006405167981528198,0.005823912276252614,0.005458175735383522,0.004957725007984758,0.005595406270904678,0.005559099944079452,0.005636029386676877,0.005177001925709841
MEAN_SYSTOLIC,0.0026241409209876595,0.0028830255371547486,0.002669122861024187,0.002582144370701262,0.0028038607043716092,0.0025817884803343827,0.003070117156706821,0.0028119766911544834,0.002698769815064752,0.0025970641746418804
STD_SYSTOLIC,0.0025942294753240665,0.002228166186349082,0.0024116540683639513,0.002978435895458701,0.0027067550798966127,0.0028852672166763678,0.002310844137169319,0.003004783090662038,0.0025832546593955617,0.0025772729678921486
"('25DTot', 'MAX_VALUE')",0.0010625273126483841,0.001022315420597265,0.0010257524770309286,0.001080483442985576,0.0011787670315816837,0.0010056518360547235,0.0011219089440843665,0.0010103385188054358,0.0011138154500228412,0.0011472064913731178
"('25DTot', 'MEAN_VALUE')",0.001433415937962667,0.0015067965148912036,0.001272418936984151,0.0014528449703446386,0.0014037919629292417,0.0014214288032454647,0.0013383097880471247,0.0015199747134983163,0.0016621023562372903,0.0014791670375818033
"('25DTot', 'MIN_VALUE')",0.0012416760632568975,0.0011398090828467248,0.0013587733767460653,0.0012820399417020124,0.0011971850060052025,0.0013151171493039216,0.0014672506141869893,0.0011830313545436995,0.0013547416102295037,0.001408276778719345
"('25HyD2', 'MIN_VALUE')",0.001081329806454281,0.0009513858688996045,0.0009374842023907148,0.0011372893400214083,0.0010481321555488208,0.0010958445780089904,0.0009735028188792464,0.001026928075366326,0.0009042859854063057,0.0011325158613705378
"('AFPTum', 'MIN_VALUE')",0.0010525384086707142,0.000970310764283204,0.0011158088646591074,0.0009426008939608139,0.0008729988904051266,0.0008951425208182877,0.0009381359823999584,0.000864349776911094,0.0010226617457114236,0.0008481214057727187
"('AN-GAP', 'MAX_VALUE')",0.001381470059894199,0.001330484921318313,0.0010294445566532593,0.0011430038394787114,0.0010806199345218211,0.0012227340982785796,0.0013067997241242627,0.0009103990348519185,0.001314607514877251,0.0013599677069714698
