FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
DURATION_BF_BASELINE,0.003852101644574165,0.003407811521583476,0.0038709958340588085,0.0037509365927315052,0.0035560064333318357,0.0035730854750822398,0.003851213210311826,0.0036650086793516682,0.003866357207677062,0.004034933965159624
SMOKING,0.08427692339383538,0.08738480852642731,0.08829180385846808,0.08749764409129805,0.08867883575924201,0.08061600600495838,0.08348897761089309,0.08432118737551864,0.07975712936094236,0.0875600046824366
MIN_BMI,0.0028595270065549456,0.002467943723738791,0.002777557323842682,0.002759719907813992,0.0025162402526392154,0.0026077077330310715,0.0024542458039881984,0.002603452674114155,0.0025341245192712558,0.0027590249486308936
MAX_BMI,0.0028851663646404313,0.002732892777156529,0.0030442394265807835,0.0028671325138090844,0.0029765524133391536,0.0034044526478195086,0.0028340147460635874,0.003149287400161146,0.0036882992829648416,0.002431796882907164
STD_BMI,0.0021060297195183058,0.0016888353804856316,0.002257389154092527,0.0018079505432816254,0.0019907086715264576,0.0019436628791902207,0.001811181933370017,0.0018663332854751324,0.0018809872213992654,0.0019025016982696103
BMI_MEASURE_COUNTS,0.0010825951676225593,0.0014815638899210524,0.0011698175439191416,0.001139469908869828,0.0013123335480583853,0.001114167490827519,0.001120417763097691,0.0011697684462610087,0.0010923571360925142,0.0012894417935626484
MAX_SYSTOLIC,0.005833280858295628,0.005410607243380498,0.005224504997292748,0.005809405900795011,0.005123242499341547,0.005167075640097957,0.005302553972034318,0.005862744280742419,0.005856977611178339,0.004751263180893289
MEAN_SYSTOLIC,0.003237225868405301,0.00296575355456956,0.002798403387948817,0.0028755794589641163,0.0031305301320525836,0.003247299593507993,0.0032410208983188866,0.003023606370728137,0.002820582968287913,0.0030307075465096697
STD_SYSTOLIC,0.0026458097049615655,0.002862384853900694,0.002444800592971581,0.002544550078058093,0.002995588597016209,0.002802272191995786,0.0030426138227908667,0.0025941131835485656,0.002508554481519424,0.002451378576330404
MIN_DIASTOLIC,0.0018633394843441669,0.0021127274527111216,0.0019435353398848637,0.0019319667276198598,0.001956970206759969,0.0018154338326511732,0.001776194372223139,0.0019724030308172066,0.002140204266326636,0.0018503885593707712
STD_DIASTOLIC,0.002449689644839135,0.0023675875347090587,0.0020439162470482853,0.002627672823726104,0.0024506440282148594,0.0019627116357987494,0.0022877322785577487,0.002557525314399856,0.0024142668608679303,0.0021752048820426737
