FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
SMOKING,0.007065473590046167,0.005794570781290531,0.006277360022068024,0.006277003325521946,0.006758407223969698,0.00652665039524436,0.007432541809976101,0.006388206500560045,0.006891150958836079,0.005664559546858072
MIN_BMI,0.015779556706547737,0.01714557781815529,0.018336499109864235,0.014510475099086761,0.01718101091682911,0.018575850874185562,0.019550815224647522,0.01490581501275301,0.01714956946671009,0.016501108184456825
MAX_BMI,0.011932799592614174,0.010874741710722446,0.01296770479530096,0.010189940221607685,0.010422604158520699,0.010543051175773144,0.010017773136496544,0.012694512493908405,0.01080657821148634,0.010508168488740921
MEDIAN_BMI,0.007693515624850988,0.004683283157646656,0.005699182394891977,0.005135729908943176,0.005781288258731365,0.0069450256414711475,0.005735983140766621,0.004914004821330309,0.005559905897825956,0.004679418634623289
MEAN_BMI,0.00541686313226819,0.0037307508755475283,0.0033038738183677197,0.004565093200653791,0.0039899032562971115,0.0035143501590937376,0.003554693888872862,0.005077804904431105,0.004855129402130842,0.003283802652731538
STD_BMI,0.013424399308860302,0.013176694512367249,0.013545882888138294,0.014184396713972092,0.012621122412383556,0.012718601152300835,0.014784295111894608,0.013104013167321682,0.015348472632467747,0.012971020303666592
MAX_SYSTOLIC,0.012560841627418995,0.013573583215475082,0.014784835278987885,0.013695280067622662,0.014005374163389206,0.01522885076701641,0.012118274345993996,0.013349713757634163,0.01495693065226078,0.012806829996407032
MEDIAN_SYSTOLIC,0.013188883662223816,0.012224162928760052,0.012802510522305965,0.01263552624732256,0.012783975340425968,0.011714501306414604,0.014784295111894608,0.010974611155688763,0.012685982510447502,0.014120351523160934
STD_SYSTOLIC,0.010912231169641018,0.00968407653272152,0.010902783833444118,0.009048666805028915,0.00960833765566349,0.009622626006603241,0.009452253580093384,0.009500409476459026,0.012372748926281929,0.010097692720592022
MEDIAN_DIASTOLIC,0.005730884149670601,0.008334656246006489,0.006525150965899229,0.007010679226368666,0.009119778871536255,0.007614425383508205,0.007836484350264072,0.007125307340174913,0.008300704881548882,0.009112552739679813
MEAN_DIASTOLIC,0.009891662746667862,0.009604698978364468,0.009168249554932117,0.010189940221607685,0.01058545708656311,0.009706300683319569,0.010906446725130081,0.009991809725761414,0.008065778762102127,0.010015598498284817
SYSTOLIC_MEASURE_COUNTS,0.005966399796307087,0.005953325890004635,0.00561658525839448,0.006847640033811331,0.004397036042064428,0.005020500160753727,0.006220714189112186,0.006142505910247564,0.005873139947652817,0.005007799249142408
"('%SAT', 'MAX_VALUE')",0.004082273691892624,0.0041276393458247185,0.0027256959583610296,0.0035868589766323566,0.0032570636831223965,0.004936825484037399,0.004685732536017895,0.0032760032918304205,0.0040720440447330475,0.004268943332135677
"('125DHy', 'MAX_VALUE')",0.0044747996143996716,0.00420701690018177,0.004212439060211182,0.004565093200653791,0.004641315899789333,0.004769475199282169,0.005251252092421055,0.004586404655128717,0.0045418948866426945,0.004597323480993509
"('125DHy', 'MIN_VALUE')",0.0024336630012840033,0.002301952801644802,0.001569340005517006,0.0024455857928842306,0.0028499308973550797,0.0035143501590937376,0.0029083858244121075,0.0037674037739634514,0.003367267083376646,0.002955422271043062
"('25DTot', 'MEAN_VALUE')",0.0069084628485143185,0.006032703444361687,0.0055339885875582695,0.006521562114357948,0.006351274438202381,0.006191950291395187,0.007351753301918507,0.008190007880330086,0.00540328910574317,0.0066497004590928555
"('25HyD2', 'MEAN_VALUE')",0.004788820631802082,0.004365772474557161,0.003964648582041264,0.0038314175326377153,0.005699861794710159,0.0040164003148674965,0.0032315398566424847,0.0045045046135783195,0.0036805011332035065,0.004104753490537405
"('AFPTum', 'MEDIAN_VALUE')",0.003689747303724289,0.004048261791467667,0.0032212769147008657,0.002608624752610922,0.0031756372191011906,0.003765375353395939,0.0042817904613912106,0.0030303029343485832,0.003288958454504609,0.0022986617404967546
"('AFPTum', 'MIN_VALUE')",0.001648610457777977,0.0017463089898228645,0.0020649211946874857,0.0017934294883161783,0.0018728116992861032,0.001924525131471455,0.001777346944436431,0.002211302286013961,0.0017227877397090197,0.0020523767452687025
"('AN-GAP', 'MAX_VALUE')",0.0037682524416595697,0.0037307508755475283,0.004790617153048515,0.004402054473757744,0.003012784058228135,0.004267425276339054,0.005251252092421055,0.004832104779779911,0.003993735183030367,0.003940563183277845
"('AN-GAP', 'MEAN_VALUE')",0.0069084628485143185,0.008969677612185478,0.00784670002758503,0.009293225593864918,0.008549792692065239,0.006275625433772802,0.009452253580093384,0.008108108304440975,0.008613938465714455,0.00812741182744503
"('AN-GAP', 'MEDIAN_VALUE')",0.002198147354647517,0.0031751070637255907,0.001982324291020632,0.0028531833086162806,0.0026056510396301746,0.0035143501590937376,0.002100500976666808,0.0027027027681469917,0.003288958454504609,0.0020523767452687025
"('AN-GAP', 'MIN_VALUE')",0.003297220915555954,0.0030163517221808434,0.0033864707220345736,0.0030977418646216393,0.003419916843995452,0.00326332519762218,0.002019712468609214,0.004013103898614645,0.0026624901220202446,0.0033658978063613176
"('AN-GAP', 'STD_VALUE')",0.005809389054775238,0.006429592147469521,0.007185925729572773,0.005543327424675226,0.006106994580477476,0.004602125380188227,0.006220714189112186,0.0062244064174592495,0.0049334377981722355,0.00533617939800024
