FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
DURATION_BF_BASELINE,0.015980999916791916,0.015317731536924839,0.017202815040946007,0.015136183239519596,0.017371755093336105,0.015854492783546448,0.015653587877750397,0.016274936497211456,0.015161753632128239,0.016259197145700455
SMOKING,0.0021334835328161716,0.0022753127850592136,0.0021554352715611458,0.0023189138155430555,0.002125485334545374,0.0021729508880525827,0.0024395203217864037,0.002330634044483304,0.0027451643254607916,0.002531845821067691
MIN_BMI,0.007487319875508547,0.008288639597594738,0.007117003668099642,0.007589172571897507,0.007807071320712566,0.007645567413419485,0.007115267217159271,0.007663440424948931,0.006799560971558094,0.008347179740667343
MAX_BMI,0.0045487480238080025,0.00426621176302433,0.004432876594364643,0.005185934714972973,0.004332720302045345,0.004627580288797617,0.004879040643572807,0.00458226352930069,0.005194695666432381,0.004668090958148241
MEDIAN_BMI,0.0019322115695104003,0.001950268168002367,0.002480784198269248,0.0017708069644868374,0.002411608351394534,0.0018912720261141658,0.0027241308707743883,0.00205411808565259,0.0023228314239531755,0.0016615238273516297
MEAN_BMI,0.0013283954467624426,0.0009751340840011835,0.0013827320653945208,0.0008854034822434187,0.0013897405005991459,0.0016498330514878035,0.0011791014112532139,0.0011455658823251724,0.0011825322872027755,0.0009098821319639683
STD_BMI,0.00736655667424202,0.006338371429592371,0.00662898039445281,0.007294038310647011,0.006580829620361328,0.007605327758938074,0.007115267217159271,0.006675883661955595,0.006546161137521267,0.0071603767573833466
BMI_MEASURE_COUNTS,0.002656790893524885,0.0032098162919282913,0.002562121255323291,0.003710262244567275,0.003106478601694107,0.0027765482664108276,0.0035779629833996296,0.0032391862478107214,0.003083030693233013,0.002927446737885475
MIN_SYSTOLIC,0.005675871390849352,0.004875670187175274,0.004554882179945707,0.004932962357997894,0.004332720302045345,0.0048287794925272465,0.0047164056450128555,0.0052143000066280365,0.004645662847906351,0.005182371940463781
MAX_SYSTOLIC,0.0055953627452254295,0.005607021041214466,0.006059620063751936,0.006872417405247688,0.005477212369441986,0.0057140556164085865,0.006180117838084698,0.005609322339296341,0.006377227604389191,0.00597357377409935
MEDIAN_SYSTOLIC,0.0029385718517005444,0.0027628799434751272,0.003131481586024165,0.0037945862859487534,0.003106478601694107,0.0026558288373053074,0.002805448370054364,0.002962670288980007,0.0029985641594976187,0.0035208482295274734
MEAN_SYSTOLIC,0.002254246734082699,0.0029660328291356564,0.0037821789737790823,0.0034572898875921965,0.002411608351394534,0.0025351091753691435,0.003212034935131669,0.0030811771284788847,0.0031252638436853886,0.0033230476547032595
STD_SYSTOLIC,0.0038241688162088394,0.004347472917288542,0.00463621923699975,0.004342693369835615,0.004823216702789068,0.004023983143270016,0.0036999389994889498,0.0044637564569711685,0.004392263013869524,0.004074689466506243
MIN_DIASTOLIC,0.0037034056149423122,0.0044287340715527534,0.003985521849244833,0.004005396738648415,0.003147353418171406,0.0036618243902921677,0.003943891264498234,0.004700770135968924,0.004096629563719034,0.003956009168177843
MAX_DIASTOLIC,0.002334755612537265,0.003250446869060397,0.0034568302799016237,0.003288641571998596,0.003106478601694107,0.002897267695516348,0.0036186217330396175,0.0034366976469755173,0.003040797309949994,0.0031648073345422745
MEDIAN_DIASTOLIC,0.0022945012897253036,0.0033723386004567146,0.0028061328921467066,0.0021924276370555162,0.002738606184720993,0.002977747470140457,0.0023582028225064278,0.0028046611696481705,0.0024495311081409454,0.0023340454790741205
MEAN_DIASTOLIC,0.002656790893524885,0.0027628799434751272,0.0025214527267962694,0.002487562131136656,0.0025751073844730854,0.0024143897462636232,0.0023175443056970835,0.0022121272049844265,0.0031674972269684076,0.00276920641772449
