FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
DURATION_BF_BASELINE,0.025622477754950523,0.026360705494880676,0.0253555029630661,0.02567947469651699,0.02446494624018669,0.024976231157779694,0.025535110384225845,0.024251284077763557,0.027373282238841057,0.025118954479694366
SMOKING,0.002817330416291952,0.0031481131445616484,0.0023324054200202227,0.002924086293205619,0.002614574274048209,0.0026694945991039276,0.0029665790498256683,0.002548821270465851,0.0029049196746200323,0.002766404766589403
MIN_BMI,0.016485190019011497,0.017257727682590485,0.017756376415491104,0.015670103952288628,0.015948902815580368,0.01901557855308056,0.01565903052687645,0.016529854387044907,0.015865331515669823,0.016266459599137306
STD_BMI,0.013820148073136806,0.014375118538737297,0.013693477027118206,0.013720712624490261,0.013446382246911526,0.014590799808502197,0.01404431089758873,0.01398103404790163,0.013444564305245876,0.013204972259700298
MAX_SYSTOLIC,0.010660168714821339,0.011302863247692585,0.010646302253007889,0.00948453601449728,0.012027041986584663,0.010751115158200264,0.011753661558032036,0.010944938287138939,0.010241704061627388,0.012024639174342155
MEAN_SYSTOLIC,0.010774385184049606,0.01187179982662201,0.01252727396786213,0.010871602222323418,0.011018563061952591,0.011372778564691544,0.011190386489033699,0.010120319202542305,0.012476257979869843,0.012245952151715755
STD_SYSTOLIC,0.00951800774782896,0.010051203891634941,0.011699646711349487,0.011096532456576824,0.010794457048177719,0.011592188850045204,0.010739766992628574,0.009932906366884708,0.010167218744754791,0.009590202942490578
"('25DTot', 'MAX_VALUE')",0.005025508347898722,0.0050824955105781555,0.004476713482290506,0.0043111527338624,0.0049676913768053055,0.004315073601901531,0.005144573748111725,0.004910229239612818,0.0045808348804712296,0.005090184975415468
"('25DTot', 'MEAN_VALUE')",0.003350338898599148,0.003451545722782612,0.003761944128200412,0.003598875366151333,0.003921861760318279,0.0036568420473486185,0.0031167855486273766,0.003860714379698038,0.0039477115496993065,0.004094278905540705
"('25DTot', 'MIN_VALUE')",0.0033884108997881413,0.0027688222471624613,0.004401474725455046,0.0037113402504473925,0.0028013295959681273,0.0038762525655329227,0.002778820926323533,0.003335957182571292,0.0035752858966588974,0.0035409980919212103
"('25HyD2', 'MIN_VALUE')",0.004682859871536493,0.005347999278455973,0.0056805359199643135,0.00517338328063488,0.0054159038700163364,0.004241936840116978,0.004806608892977238,0.0052100904285907745,0.005586384329944849,0.005422153510153294
"('AFPTum', 'MIN_VALUE')",0.004720931872725487,0.0036411909386515617,0.004965766333043575,0.004461105912923813,0.0050050425343215466,0.004315073601901531,0.004130679648369551,0.004760298412293196,0.0045808348804712296,0.004684445448219776
"('AN-GAP', 'MAX_VALUE')",0.005558516830205917,0.0059548644348979,0.006131968926638365,0.006260543595999479,0.005565308500081301,0.006143494509160519,0.005332332104444504,0.005884778220206499,0.00562362652271986,0.005606580525636673
"('Alb', 'MAX_VALUE')",0.005292012356221676,0.0044756303541362286,0.004777668975293636,0.004985942039638758,0.004780936054885387,0.004827031400054693,0.005031919106841087,0.004385471809655428,0.005474656354635954,0.0047213309444487095
"('Alb', 'MEAN_VALUE')",0.006434173323214054,0.007623743731528521,0.007411030121147633,0.005960637237876654,0.006947297602891922,0.00654574716463685,0.00713481055572629,0.006784362252801657,0.006405720487236977,0.006713142152875662
"('Alb', 'MEDIAN_VALUE')",0.002170105930417776,0.0019343827152624726,0.001918591558933258,0.0026241799350827932,0.002129010623320937,0.002523220842704177,0.0023282011970877647,0.002961130579933524,0.002309038769453764,0.0022500092163681984
"('Alb', 'MIN_VALUE')",0.004454427864402533,0.003413616446778178,0.004363855347037315,0.004048734903335571,0.00485563836991787,0.0042785052210092545,0.004393541254103184,0.004198058508336544,0.003612528322264552,0.003909851890057325
