FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
DURATION_BF_BASELINE,0.0002856413674238742,0.0006827470181108085,0.0,0.0002516714860708044,0.00014606664522059408,8.491614817135588e-05,0.0004030562612700416,0.0003923885369509054,0.00022912068847618289,0.0
SMOKING,0.05506215510035,0.05395005864490231,0.05802219764594898,0.059287682608429405,0.057022672053270274,0.0524460340698478,0.06059103727826168,0.054524786135637326,0.05209558912700211,0.08758249254632752
MIN_BMI,3.613971720125091e-07,0.0006425037580155335,0.0007849490949517961,0.00038950098728464215,0.0,0.00034855066828062516,0.0002521315994668126,0.0005483529323848522,0.0,0.0
MAX_BMI,0.0017897824705236899,0.0013844800977964064,0.00042942918070977993,0.0008372142236594652,0.00020820945949560422,0.0003710350222612172,0.0017229356996732788,0.0008827234523670144,0.0014383323664334884,0.0007185759561292582
MEDIAN_BMI,6.149789079889908e-05,0.0004267642517121007,0.0,0.0017427711193029071,0.00016385446045839335,0.0009571386220809256,7.804135190805487e-05,0.000513858878112042,0.00039281188255270883,0.0
MEAN_BMI,6.067813590018386e-05,0.0002590830913211101,0.0005946788625029643,0.0005925889776981921,0.0015326326259423935,0.0,0.0,0.0014311727589340988,6.727769943915523e-05,0.0
STD_BMI,0.0,0.00047764220772897895,0.0,0.0003124523627829389,0.0,0.0,0.0,0.0007557542749346276,1.158832152742293e-07,0.0
BMI_MEASURE_COUNTS,0.0,0.0,4.147281338685006e-08,0.0006181173516733325,0.0,3.2516928461244145e-05,0.0003242827370593221,0.0003571979309840956,0.0,0.0
MIN_SYSTOLIC,0.00016929499571053107,0.0,0.0009593519646051772,0.0003425715604882476,0.0006066935535618417,0.0004940892876708626,0.00021692518331883472,0.001989577909679662,6.955599603539063e-05,0.0
MAX_SYSTOLIC,0.014815093960773663,0.016509635984066944,0.02103505032343926,0.018879931926963096,0.021184310849648034,0.0218598544203772,0.020455002193608553,0.02321845741498418,0.02283879547411835,0.014533560811406936
MEDIAN_SYSTOLIC,0.0010159037659660153,0.0011229240926373299,0.000714395140432454,0.001891342927333008,0.0014549384900545941,0.0,0.0006907795631130472,0.0004322102681837791,0.00018784457394551508,0.002656231908376697
MEAN_SYSTOLIC,0.019285523990266177,0.022071401628835346,0.016214071055708372,0.01200609985001804,0.01230488062786405,0.013856125029477489,0.013407487771635262,0.015521915119743187,0.011246662811080088,0.04260244311812064
STD_SYSTOLIC,0.00040787196927338386,0.00014581320426868807,0.0002980771735134948,0.0,0.0,0.0004586441226752077,0.00034969195591949055,0.0,2.3721573468311998e-08,0.0
MIN_DIASTOLIC,0.0015507433838124849,0.002476133488370489,0.00222579424449735,0.0002959243216487999,0.0034511941288458627,0.0025228422354617304,0.00029310453211779273,0.004326378642582049,0.0017386560939569554,0.0
MAX_DIASTOLIC,0.00023379166914061695,0.000592217922762838,0.00017476350886898702,4.6284536950584364e-05,0.0011975069588157404,0.0002380714022327623,0.0008515697866624847,0.0007322106839568009,0.0004250117934316135,0.0
MEDIAN_DIASTOLIC,0.0,0.0,0.0,0.0012936920251345714,0.00018978378613944058,0.0005695827756332086,0.0006999472206134684,0.0004125366755283736,0.0005855048653971627,0.0
MEAN_DIASTOLIC,0.007340224828209826,0.006678865027611853,0.0027368458594742256,0.0040851521515917885,0.003816639527632361,0.003529208594204134,0.0035776438576581547,0.005907711708189731,0.004790265472527771,0.0
