FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
DURATION_BF_BASELINE,0.001700036810542537,0.0018081931738568812,0.0016556759366263083,0.0019233525144981504,0.0015205400948957223,0.0015240000675189832,0.0016860823209647723,0.0015182215505213817,0.001865697491727892,0.0016396524020224487
SMOKING,0.03137229680238168,0.030130816357365243,0.030268382010397495,0.03219706573211821,0.027090348030518095,0.030724906576654724,0.028823053848884287,0.03084530946944794,0.02559844949026028,0.02923218395023365
MIN_BMI,0.00130651337566643,0.0015186543088573743,0.0014134664638325897,0.001238704680486272,0.0013596092222734446,0.0016731958692517504,0.0016608756701943046,0.0014303565050595127,0.0015663850580535515,0.001627345830486162
MAX_BMI,0.0017581526593602953,0.002308621402178657,0.00243053156190614,0.0020666987687005998,0.0021371056754918437,0.0025525689076893077,0.002381295165786007,0.002950740225740705,0.0019038444988628562,0.0024998706657503307
MEDIAN_BMI,0.001458960290939508,0.0018227191729601033,0.0021319806290473644,0.0019173596379875343,0.0017872566115810467,0.002088130250497449,0.0018536058711168505,0.0019551100708902285,0.0016712042220611877,0.001872786277521313
MEAN_BMI,0.001767628145771449,0.0023266261048390975,0.0018634053882600613,0.0017231344818212319,0.0013690378027309618,0.0022338891388884938,0.0017307961269228639,0.0015407422918750796,0.0019521409412384917,0.0017833321405667853
STD_BMI,0.0011187371029717987,0.0009969222264972792,0.0010139283237410445,0.0011163298316750265,0.0011222300586122276,0.00109632847820503,0.001055954858228186,0.001075900528516022,0.0011659682918713883,0.0009401165643712986
BMI_MEASURE_COUNTS,0.0005189676326666094,0.0008231487917021194,0.0006230831502953711,0.0010184047684080795,0.0005915737254103004,0.0008720047933838304,0.0009675131296244281,0.0006231764893458718,0.0006459942918122703,0.000773885679459833
MIN_SYSTOLIC,0.0013875319295094488,0.0013386372468319743,0.0014508831901299396,0.0012466485350356984,0.0013566821843300583,0.0015596184252678954,0.0013127366883637808,0.0016689840994966731,0.0014326146743767513,0.0016381189138315062
MAX_SYSTOLIC,0.0068083904824300856,0.006530372178419669,0.0063728996140681275,0.006245505906549444,0.006144641856931385,0.0065385547443720235,0.0066085274025536826,0.005435744861609122,0.005825608868425281,0.005865529774046224
MEDIAN_SYSTOLIC,0.004323862237026431,0.0042624807946184005,0.004029622608877317,0.003588975930667973,0.003178677688494421,0.003931811405534174,0.003619279149723407,0.004191720973153484,0.003937091520538607,0.0041382958872153725
MEAN_SYSTOLIC,0.005318673544924414,0.005629876805566187,0.004609483298660448,0.004131279768014844,0.006034563764584404,0.0035190938550097844,0.004274186518942848,0.004992030510645506,0.005095937182822673,0.004136355506813737
STD_SYSTOLIC,0.0012547093839702708,0.0015761401844230304,0.0012752256571414323,0.0011094494353977979,0.001787678187182139,0.001237108407968576,0.0015940759118921138,0.0018078328127936385,0.001244898745624906,0.0014079414482328892
MIN_DIASTOLIC,0.0016155976237549738,0.00179645247255958,0.0014369098253826872,0.0015780203433345583,0.0016301012564725276,0.0018573070120673433,0.0012556682163481067,0.002135061171625593,0.0017330359245789654,0.0017842908643918856
MAX_DIASTOLIC,0.0024006272007339635,0.002265989531179867,0.0021620891849938174,0.001532178362340038,0.0014154401508315443,0.002200363050772877,0.0018001037472211616,0.0015210416913048347,0.002256269496910437,0.0012930819659901357
MEDIAN_DIASTOLIC,0.0018341411826170934,0.001949356296612356,0.0016936373438522592,0.0017436864257465794,0.001731797199917349,0.0019329709508894356,0.001759207373198662,0.0016559284269643882,0.0018379689775442094,0.0018688139574696023
MEAN_DIASTOLIC,0.002485439074256648,0.0033287570275845773,0.0022990386617330544,0.0029534616663258626,0.0022037555790221865,0.0026884267487427694,0.0021613875525571783,0.0027871356991900176,0.0026168727960429,0.002475805292558689
STD_DIASTOLIC,0.0010046036438930376,0.0013481909760562753,0.001411670983252831,0.0010370813082209948,0.0012835447584015685,0.001127425062522115,0.0012023488704087967,0.001124473819251137,0.0011579478381578369,0.0009754454614596644
SYSTOLIC_MEASURE_COUNTS,0.0005945408642466177,0.0005684612390522044,0.0005869014568676907,0.0005703194343406905,0.0004794879065600724,0.0005321719023815929,0.0005779232054787545,0.000583764141811802,0.0005003584114571949,0.0005120413643249101
"('%SAT', 'MAX_VALUE')",0.00030202686977568236,0.00032663687661752845,0.0004217882886608369,0.0003040925175965491,0.00033049812482147236,0.00021117099889418243,0.00028307667590407094,0.000264993454317012,0.0003490890081965853,0.00027290048633110014
