FEATURE,WEIGHT0,WEIGHT1,WEIGHT2,WEIGHT3,WEIGHT4,WEIGHT5,WEIGHT6,WEIGHT7,WEIGHT8,WEIGHT9
DURATION_BF_BASELINE,-0.05194665213583192,-0.04825491898151686,-0.04951051566819611,-0.04488819574891771,-0.0491118667305847,-0.05199982238904483,-0.050141851179581365,-0.05666052277300852,-0.04984988243752618,-0.05048849375759357
SMOKING,0.324785326056,0.32342610557562135,0.3147150142652874,0.3118247101758991,0.31920995860337253,0.31485332348571377,0.3196922497265577,0.31668753200058763,0.3099381962930356,0.3168360355454273
MIN_BMI,0.011200007952038364,0.027831580792625085,0.021068264320064076,0.017133312029684364,0.0068627455604217584,0.0293270721833861,0.01905498486235349,0.01834772702659437,0.014321693036479602,0.011631628273029708
MAX_BMI,0.011984210351766675,0.014751612003689792,0.009059979176398324,0.0023265386452902674,0.0004475803731779772,0.002889552227492709,0.0077194275681685244,0.009405390567280557,0.005975710795059232,-0.0019945799328940205
MEDIAN_BMI,-0.005134325840169872,-0.010826827177313512,0.0013839815362292522,0.0028977233693150894,0.007818418635032735,-0.00027905208220075587,-0.0010441298708298275,-0.002039409548921528,0.0018387407157189478,0.010274909002302872
MEAN_BMI,0.011900044528032448,0.010939141493518855,0.016337995653057574,0.01674496004255846,0.01861312823144222,0.018381407512042116,0.013096574358200361,0.013892946262083487,0.016663560369640344,0.017057847950273892
STD_BMI,-0.033147087681134974,-0.03999325450651821,-0.024187644120302502,-0.024874199469109525,-0.023829055143500567,-0.029572174257111526,-0.01818278542615196,-0.030530662652815337,-0.022399931697865774,-0.030899825226386228
BMI_MEASURE_COUNTS,-0.036640270854313504,-0.031209588860983024,-0.02615839501988673,-0.005067592092547388,-0.02231077388506783,-0.013199640509455797,-0.04821265500533337,-0.030453465198094852,-0.025788731031728847,-0.02842373508274224
MIN_SYSTOLIC,0.0015356341671306382,-0.0061268089295011844,0.002802347687077304,-0.0005334301077248169,-0.0004354490768787461,-0.001090625547808285,-0.006170174534695658,-0.0023914245507336176,-0.015125644678271297,-0.007738124095684783
MAX_SYSTOLIC,0.03848052395467231,0.05088236434547152,0.030612446543708836,0.029286079941015144,0.04682360958181915,0.04171614215651607,0.028296025036824286,0.03551908570293459,0.03882861063244667,0.025049937040042162
MEDIAN_SYSTOLIC,-0.0038626033328894613,-0.010752610576695134,-0.008455693758807736,-0.008100714165808338,-0.012936302904059423,-0.001491244192915591,-0.008987149392558158,-0.010064298370384982,-0.007422493294527856,0.006186291799539387
